,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,url_uno,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,url_otro,Large_apartment,Medium_apartment,Small_apartment,url,cities,Description
73,169,0.12,12,103,16,478.04,https://teleport.org/cities/denver/,$43.00,$2.20,$110.00,$15.00,https://teleport.org/cities/denver/,$2000,$1700,$1400,https://teleport.org/cities/denver/,Denver,"Denver, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Denver is one of the top ten city matches for 4.1% of Teleport users."
74,17,0.12,8,52,16,478.04,https://teleport.org/cities/des-moines/,$35.00,$1.90,$51.00,$9.90,https://teleport.org/cities/des-moines/,$1300,$1000,$800,https://teleport.org/cities/des-moines/,Des-Moines,"Des Moines, Iowa, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety."
75,137,0.12,12,39,24,University of Michigan,https://teleport.org/cities/detroit/,$35.00,$2.70,$49.00,$11.00,https://teleport.org/cities/detroit/,$1400,$1200,$880,https://teleport.org/cities/detroit/,Detroit,"Detroit, Michigan, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and leisure & culture.
Detroit is one of the top ten city matches for 0.5% of Teleport users."
76,116,No hay dato,0,19,49,Qatar University,https://teleport.org/cities/doha/,$140.00,$3.80,$49.00,$11.00,https://teleport.org/cities/doha/,$2800,$2300,$1700,https://teleport.org/cities/doha/,Doha,"Doha, Qatar, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare."
77,18,0.55,1,30,10,TU Dresden,https://teleport.org/cities/dresden/,$43.00,$0.80,$73.00,$9.80,https://teleport.org/cities/dresden/,$1100,$800,$550,https://teleport.org/cities/dresden/,Dresden,"Dresden, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
78,215,No hay dato,1,22,41,American University of Sharjah,https://teleport.org/cities/dubai/,$100.00,$2.90,$72.00,$12.00,https://teleport.org/cities/dubai/,$2500,$2000,$1500,https://teleport.org/cities/dubai/,Dubai,"Dubai, United Arab Emirates, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and safety.
Dubai is one of the top ten city matches for 6.9% of Teleport users."
79,144,0.32,1,4,9,Trinity College Dublin,https://teleport.org/cities/dublin/,$49.00,$3.10,$150.00,$17.00,https://teleport.org/cities/dublin/,$2600,$2100,$1600,https://teleport.org/cities/dublin/,Dublin,"Dublin is a city marked by its long history and rich background. The city center is compact, rich in urban greenery, and can be easily traversed on foot. Due to its great travel connections, tax incentives and relatively close time zone to the US, most of the largest American technology companies have their headquarters in Dublin. There are also over 1,200 startups in the city attracted by the acces to venture capital and high speed Internet.
Dublin is one of the top ten city matches for 4.9% of Teleport users."
80,169,0.61,1,30,9,517.09,https://teleport.org/cities/dusseldorf/,$42.00,$1.00,$81.00,$14.00,https://teleport.org/cities/dusseldorf/,$1600,$1200,$820,https://teleport.org/cities/dusseldorf/,Dusseldorf,"Dusseldorf, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare."
81,117,0.61,0,6,17,University of Edinburgh,https://teleport.org/cities/edinburgh/,$45.00,$2.90,$81.00,$15.00,https://teleport.org/cities/edinburgh/,$1700,$1400,$1100,https://teleport.org/cities/edinburgh/,Edinburgh,"Edinburgh is truly steeped in history—even its New Town was built in the 18th century. It also boasts breathtaking views of a hilly scenery and proximity to nature. With a population of 465 thousand people, walkable distances and amazing public transport, you are more likely to stumble upon your friends than in any other capital. Despite its small size, Edinburgh is still the second largest financial center in the UK after London.
Edinburgh is one of the top ten city matches for 4.8% of Teleport users."
82,38,0.15,2,31,5,University of Alberta,https://teleport.org/cities/edmonton/,$48.00,$2.40,$72.00,$15.00,https://teleport.org/cities/edmonton/,$1200,$1100,$980,https://teleport.org/cities/edmonton/,Edmonton,"Edmonton, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
83,79,0.57,1,4,10,Eindhoven University of Technology,https://teleport.org/cities/eindhoven/,$28.00,$1.10,$88.00,$17.00,https://teleport.org/cities/eindhoven/,$1500,$1200,$980,https://teleport.org/cities/eindhoven/,Eindhoven,"Eindhoven, Netherlands, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Eindhoven is one of the top ten city matches for 2.7% of Teleport users."
84,9,0.11,12,93,24,University of Oregon,https://teleport.org/cities/eugene/,$41.00,$2.80,$53.00,$11.00,https://teleport.org/cities/eugene/,$1500,$1100,$750,https://teleport.org/cities/eugene/,Eugene,"Eugene, Oregon, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality."
85,78,0.48,1,12,26,University of Florence,https://teleport.org/cities/florence/,$82.00,$1.70,$41.00,$14.00,https://teleport.org/cities/florence/,$1300,$1100,$790,https://teleport.org/cities/florence/,Florence,"Florence, Italy, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
86,12,No hay dato,21,8,52,Federal University of Santa Catarina,https://teleport.org/cities/florianopolis/,$38.00,$1.30,$57.00,$6.80,https://teleport.org/cities/florianopolis/,$680,$540,$400,https://teleport.org/cities/florianopolis/,Florianopolis,"Florianopolis, Brazil, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and tolerance."
87,2,0.12,12,103,24,Colorado State University,https://teleport.org/cities/fort-collins/,$25.00,$2.30,$11.00,$44.00,https://teleport.org/cities/fort-collins/,$1800,$1400,$1100,https://teleport.org/cities/fort-collins/,Fort-Collins,"Fort Collins, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare."
88,239,0.71,1,30,10,Goethe University Frankfurt,https://teleport.org/cities/frankfurt/,$51.00,$1.10,$98.00,$16.00,https://teleport.org/cities/frankfurt/,$1700,$1300,$960,https://teleport.org/cities/frankfurt/,Frankfurt,"Frankfurt, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.
Frankfurt is one of the top ten city matches for 4.4% of Teleport users."
89,38,1.00,0,1,3,Kyushu University,https://teleport.org/cities/fukuoka/,$82.00,$2.30,$15.00,$68.00,https://teleport.org/cities/fukuoka/,$980,$780,$580,https://teleport.org/cities/fukuoka/,Fukuoka,"Fukuoka, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality."
90,47,0.30,0,1,14,Gdańsk University of Technology,https://teleport.org/cities/gdansk/,$46.00,$0.93,$26.00,$7.70,https://teleport.org/cities/gdansk/,$860,$680,$510,https://teleport.org/cities/gdansk/,Gdansk,"Gdansk, Poland, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and environmental quality."
91,101,0.70,3,24,11,University of Geneva,https://teleport.org/cities/geneva/,$120.00,$2.60,$83.00,$28.00,https://teleport.org/cities/geneva/,$3500,$2800,$2100,https://teleport.org/cities/geneva/,Geneva,"Geneva, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Geneva is one of the top ten city matches for 2.8% of Teleport users."
92,16,No hay dato,2,17,No hay dato,No hay dato,https://teleport.org/cities/gibraltar/,$30.00,$1.30,$8.80,$75.00,https://teleport.org/cities/gibraltar/,$2900,$2200,$1400,https://teleport.org/cities/gibraltar/,Gibraltar,"Gibraltar, Gibraltar, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating."
93,117,0.71,0,6,17,University of Glasgow,https://teleport.org/cities/glasgow/,$44.00,$2.00,$64.00,$16.00,https://teleport.org/cities/glasgow/,$1400,$1100,$750,https://teleport.org/cities/glasgow/,Glasgow,"By Jaanika Jensen

Glasgow is an outgoing, friendly and international city with a historic flavor. It offers a high quality of life and a wide range of cultural activities including concerts, fairs, sports events and festivals, making it a highly sociable environment. The unpredictable weather might be a challenge for some, but as the business and cultural center of Scotland, it's an exciting choice.
Glasgow is one of the top ten city matches for 0.6% of Teleport users."
94,48,0.46,1,21,19,University of Gothenburg,https://teleport.org/cities/gothenburg/,$46.00,$1.80,$74.00,$12.00,https://teleport.org/cities/gothenburg/,$1400,$1200,$960,https://teleport.org/cities/gothenburg/,Gothenburg,"Gothenburg, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
95,0.10,No hay dato,3,31,19,Joseph Fourier University,https://teleport.org/cities/grenoble/,$49.00,$1.80,$65.00,$17.00,https://teleport.org/cities/grenoble/,$1200,$950,$700,https://teleport.org/cities/grenoble/,Grenoble,"Grenoble, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare."
96,41,0.10,11,15,41,413.57,https://teleport.org/cities/guadalajara/,$34.00,$0.92,$20.00,$6.10,https://teleport.org/cities/guadalajara/,$570,$460,$340,https://teleport.org/cities/guadalajara/,Guadalajara,"Guadalajara, Mexico, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance."
97,19,No hay dato,34,13,No hay dato,No hay dato,https://teleport.org/cities/guatemala-city/,$67.00,$1.60,$15.00,$5.10,https://teleport.org/cities/guatemala-city/,$720,$620,$520,https://teleport.org/cities/guatemala-city/,Guatemala-City,"Guatemala City, Guatemala, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, taxation and tolerance.
Guatemala City is one of the top ten city matches for 0.2% of Teleport users."
98,28,0.12,2,31,5,Dalhousie University,https://teleport.org/cities/halifax/,$45.00,$2.50,$60.00,$14.00,https://teleport.org/cities/halifax/,$1300,$1100,$870,https://teleport.org/cities/halifax/,Halifax,"Halifax, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
99,90,0.71,1,30,9,517.09,https://teleport.org/cities/hamburg/,$46.00,$1.20,$100.00,$14.00,https://teleport.org/cities/hamburg/,$1600,$1300,$860,https://teleport.org/cities/hamburg/,Hamburg,"Hamburg, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Hamburg is one of the top ten city matches for 1.1% of Teleport users."
100,50,0.85,1,30,10,Leibniz University of Hanover,https://teleport.org/cities/hannover/,$42.00,$1.10,$73.00,$10.00,https://teleport.org/cities/hannover/,$1100,$850,$650,https://teleport.org/cities/hannover/,Hannover,"Hannover, Germany, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety."
101,31,0.18,1,5,No hay dato,No hay dato,https://teleport.org/cities/havana/,$40.00,$1.40,$17.00,$7.90,https://teleport.org/cities/havana/,$800,$630,$450,https://teleport.org/cities/havana/,Havana,"Havana, Cuba, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance."
102,88,0.53,3,27,6,Aalto University,https://teleport.org/cities/helsinki/,$59.00,$2.60,$71.00,$14.00,https://teleport.org/cities/helsinki/,$1900,$1500,$1100,https://teleport.org/cities/helsinki/,Helsinki,"By Minja Orava

Helsinki is a unique mix of influences from the Nordics and the East. The city center is small enough to navigate by foot but offers a thriving underground cultural scene and more than 50 annual city festivals. Finland is a world leader in clean technology and Helsinki is very environmentally conscious with 90% of all bottles and cans recycled. The society prides itself on one of the best primary and secondary education systems in the world, equal opportunity and tolerance, creating a high standard of living and welcoming environment for innovation and tech start-ups.
Helsinki is one of the top ten city matches for 3.6% of Teleport users."
103,54,0.12,1,2,22,508.97,https://teleport.org/cities/ho-chi-minh-city/,$27.00,$1.20,$7.90,$2.20,https://teleport.org/cities/ho-chi-minh-city/,$880,$660,$440,https://teleport.org/cities/ho-chi-minh-city/,Ho-Chi-Minh-City,"Ho Chi Minh City, Vietnam, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety."
104,171,No hay dato,0,6,2,University of Hong Kong,https://teleport.org/cities/hong-kong/,$82.00,$1.50,$60.00,$8.70,https://teleport.org/cities/hong-kong/,$3700,$2900,$2000,https://teleport.org/cities/hong-kong/,Hong-Kong,"Hong Kong is a world financial center with low taxation rates and free trade. The city is connected by a well-developed but cheap public transportation system and offers extensive international travel connections for its large expat community. Adding its b>ease of doing business, the free public wifi, high safety rating, and unique status within China and it's no surprise that Hong Kong is a truly international city.
Hong Kong is one of the top ten city matches for 10.2% of Teleport users."
105,51,0.11,3,39,24,University of Hawai’i at Mānoa,https://teleport.org/cities/honolulu/,$58.00,$3.40,$64.00,$14.00,https://teleport.org/cities/honolulu/,$2600,$2100,$1600,https://teleport.org/cities/honolulu/,Honolulu,"Honolulu, Hawaii, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and leisure & culture."
106,176,0.11,11,123,24,Rice University,https://teleport.org/cities/houston/,$37.00,$2.10,$49.00,$13.00,https://teleport.org/cities/houston/,$1700,$1400,$1200,https://teleport.org/cities/houston/,Houston,"Houston, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and leisure & culture.
Houston is one of the top ten city matches for 0.5% of Teleport users."
107,32,0.56,0,4,No hay dato,No hay dato,https://teleport.org/cities/hyderabad/,$25.00,$1.40,$13.00,$3.80,https://teleport.org/cities/hyderabad/,$310,$250,$190,https://teleport.org/cities/hyderabad/,Hyderabad,"Hyderabad, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety."
108,35,0.11,13,115,16,478.04,https://teleport.org/cities/indianapolis/,$35.00,$2.20,$64.00,$12.00,https://teleport.org/cities/indianapolis/,$1300,$1100,$860,https://teleport.org/cities/indianapolis/,Indianapolis,"Indianapolis, Indiana, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, leisure & culture and tolerance."
109,6,1.00,3,30,20,University of Innsbruck,https://teleport.org/cities/innsbruck/,$55.00,$1.40,$56.00,$12.00,https://teleport.org/cities/innsbruck/,$1400,$1100,$810,https://teleport.org/cities/innsbruck/,Innsbruck,"Innsbruck, Austria, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare."
110,242,0.17,2,13,43,Koç University,https://teleport.org/cities/istanbul/,$39.00,$1.80,$50.00,$6.30,https://teleport.org/cities/istanbul/,$670,$550,$430,https://teleport.org/cities/istanbul/,Istanbul,"Istanbul, Turkey, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and startups.
Istanbul is one of the top ten city matches for 6.0% of Teleport users."
111,27,0.12,12,98,16,478.04,https://teleport.org/cities/jacksonville/,$34.00,$2.00,$51.00,$14.00,https://teleport.org/cities/jacksonville/,$1300,$1200,$950,https://teleport.org/cities/jacksonville/,Jacksonville,"Jacksonville, Florida, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality."
112,64,0.17,1,1,51,University of Indonesia,https://teleport.org/cities/jakarta/,$43.00,$2.50,$18.00,$3.90,https://teleport.org/cities/jakarta/,$880,$630,$390,https://teleport.org/cities/jakarta/,Jakarta,"Jakarta, Indonesia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Jakarta is one of the top ten city matches for 0.4% of Teleport users."
113,81,0.24,33,13,No hay dato,University of the Witwatersrand,https://teleport.org/cities/johannesburg/,$39.00,$1.30,$60.00,$8.50,https://teleport.org/cities/johannesburg/,$1100,$850,$650,https://teleport.org/cities/johannesburg/,Johannesburg,"Johannesburg, South Africa, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living."
114,43,0.12,15,76,16,478.04,https://teleport.org/cities/kansas-city/,$45.00,$2.20,$51.00,$12.00,https://teleport.org/cities/kansas-city/,$1300,$1100,$790,https://teleport.org/cities/kansas-city/,Kansas-City,"Kansas City, Missouri, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Kansas City is one of the top ten city matches for 2.0% of Teleport users."
115,80,0.55,1,30,10,Karlsruhe Institute of Technology,https://teleport.org/cities/karlsruhe/,$43.00,$1.50,$64.00,$13.00,https://teleport.org/cities/karlsruhe/,$1100,$870,$660,https://teleport.org/cities/karlsruhe/,Karlsruhe,"Karlsruhe, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
116,31,No hay dato,1,1,No hay dato,No hay dato,https://teleport.org/cities/kathmandu/,$24.00,$2.20,$13.00,$4.00,https://teleport.org/cities/kathmandu/,$280,$250,$220,https://teleport.org/cities/kathmandu/,Kathmandu,"Kathmandu, Nepal, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance."
117,77,0.72,0,7,No hay dato,Taras Shevchenko National University of Kyiv,https://teleport.org/cities/kiev/,$22.00,$0.54,$10.00,$4.30,https://teleport.org/cities/kiev/,$620,$500,$380,https://teleport.org/cities/kiev/,Kiev,"By Andrii Gorbenko

With a history going back more than 1500 years, Kiev today is an economic and industrial center of Eastern Europe. Known for its river-front location and historical landmarks, Kiev continues to develop, and boasts several international companies serving Ukraine's large domestic market. Its expansive infrastructure offers some of the cheapest metro services in Europe, there are great leisure-time opportunities and the overall cost of living is very reasonable.
Kiev is one of the top ten city matches for 4.4% of Teleport users."
118,19,No hay dato,31,8,No hay dato,No hay dato,https://teleport.org/cities/kingston/,$49.00,$1.80,$57.00,$5.20,https://teleport.org/cities/kingston/,$660,$530,$410,https://teleport.org/cities/kingston/,Kingston,"Kingston, Jamaica, is characterized by reasonably priced housing. When considering your preferences, this city does not have any category with a high rating."
119,17,0.12,16,96,24,"University of Tennessee, Knoxville",https://teleport.org/cities/knoxville/,$36.00,$3.10,$48.00,$13.00,https://teleport.org/cities/knoxville/,$1200,$1000,$890,https://teleport.org/cities/knoxville/,Knoxville,"Knoxville, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and internet access."
120,52,0.30,0,1,14,AGH University of Science and Technology,https://teleport.org/cities/krakow/,$35.00,$1.00,$28.00,$6.10,https://teleport.org/cities/krakow/,$860,$700,$540,https://teleport.org/cities/krakow/,Krakow,"Krakow, Poland, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and leisure & culture.
Krakow is one of the top ten city matches for 0.6% of Teleport users."
121,115,0.19,1,2,38,Universiti Putra Malaysia,https://teleport.org/cities/kuala-lumpur/,$43.00,$3.00,$35.00,$3.60,https://teleport.org/cities/kuala-lumpur/,$720,$610,$490,https://teleport.org/cities/kuala-lumpur/,Kuala-Lumpur,"Kuala Lumpur, Malaysia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and leisure & culture.
Kuala Lumpur is one of the top ten city matches for 0.5% of Teleport users."
122,71,1.00,0,1,3,Kyoto University,https://teleport.org/cities/kyoto/,$100.00,$3.00,$16.00,$83.00,https://teleport.org/cities/kyoto/,$1100,$900,$660,https://teleport.org/cities/kyoto/,Kyoto,"Kyoto, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, business freedom and healthcare."
123,42,0.10,33,2,No hay dato,No hay dato,https://teleport.org/cities/lagos/,$43.00,$0.97,$39.00,$6.00,https://teleport.org/cities/lagos/,$820,$720,$630,https://teleport.org/cities/lagos/,Lagos,"Lagos, Nigeria, differentiates itself with low living costs. This urban area is consistently ahead in housing."
124,16,0.11,1,3,No hay dato,No hay dato,https://teleport.org/cities/la-paz/,$27.00,$1.50,$5.80,$55.00,https://teleport.org/cities/la-paz/,$550,$430,$300,https://teleport.org/cities/la-paz/,La-Paz,"La Paz, Bolivia, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating."
125,80,0.47,1,10,17,490.84,https://teleport.org/cities/las-palmas-de-gran-canaria/,$43.00,$1.20,$48.00,$13.00,https://teleport.org/cities/las-palmas-de-gran-canaria/,$910,$740,$560,https://teleport.org/cities/las-palmas-de-gran-canaria/,Las-Palmas-de-Gran-Canaria,"Las Palmas de Gran Canaria, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom."
126,133,0.11,14,168,16,478.04,https://teleport.org/cities/las-vegas/,$28.00,$1.90,$61.00,$13.00,https://teleport.org/cities/las-vegas/,$1200,$1000,$880,https://teleport.org/cities/las-vegas/,Las-Vegas,"Las Vegas, Nevada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, startups and healthcare.
Las Vegas is one of the top ten city matches for 0.3% of Teleport users."
127,101,0.83,3,24,11,École Polytechnique Fédérale de Lausanne,https://teleport.org/cities/lausanne/,$100.00,$1.60,$84.00,$24.00,https://teleport.org/cities/lausanne/,$2400,$1800,$1300,https://teleport.org/cities/lausanne/,Lausanne,"Lausanne, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and education."
128,159,0.63,0,6,17,University of Leeds,https://teleport.org/cities/leeds/,$41.00,$2.20,$73.00,$19.00,https://teleport.org/cities/leeds/,$1300,$1100,$920,https://teleport.org/cities/leeds/,Leeds,"Leeds, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
129,28,0.67,1,30,9,517.09,https://teleport.org/cities/leipzig/,$36.00,$1.00,$86.00,$11.00,https://teleport.org/cities/leipzig/,$970,$750,$520,https://teleport.org/cities/leipzig/,Leipzig,"Leipzig, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
130,155,1.00,3,31,19,Lille 1 University – Science and Technology,https://teleport.org/cities/lille/,$40.00,$2.50,$64.00,$15.00,https://teleport.org/cities/lille/,$1200,$940,$710,https://teleport.org/cities/lille/,Lille,"Lille, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
131,56,0.10,6,19,47,365.47,https://teleport.org/cities/lima/,$53.00,$2.20,$32.00,$4.40,https://teleport.org/cities/lima/,$750,$610,$470,https://teleport.org/cities/lima/,Lima,"Lima, Peru, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and leisure & culture."
132,103,0.36,2,9,18,Instituto Superior Técnico Lisboa,https://teleport.org/cities/lisbon/,$51.00,$1.40,$45.00,$11.00,https://teleport.org/cities/lisbon/,$1300,$1100,$800,https://teleport.org/cities/lisbon/,Lisbon,"Lisbon, one of the oldest cities in the world, is a charming mix of Paris and San Francisco—at a fraction of the price. It offers a relaxed and tolerant environment with great local cuisine. Its central areas are best navigated by foot, allowing you to enjoy the grand architecture and pleasant climate, while its affordable public transportation system offers easy access to the rest of the city.
Lisbon is one of the top ten city matches for 10.4% of Teleport users."
133,160,0.64,0,6,17,University of Liverpool,https://teleport.org/cities/liverpool/,$43.00,$1.90,$76.00,$16.00,https://teleport.org/cities/liverpool/,$1100,$920,$750,https://teleport.org/cities/liverpool/,Liverpool,"Liverpool, United Kingdom, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, travel connectivity and business freedom."
134,25,0.27,3,14,9,University of Ljubljana,https://teleport.org/cities/ljubljana/,$56.00,$1.30,$46.00,$11.00,https://teleport.org/cities/ljubljana/,$960,$740,$530,https://teleport.org/cities/ljubljana/,Ljubljana,"Ljubljana, Slovenia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.
Ljubljana is one of the top ten city matches for 1.7% of Teleport users."
135,357,0.88,0,6,17,Imperial College London,https://teleport.org/cities/london/,$77.00,$2.60,$200.00,$18.00,https://teleport.org/cities/london/,$3200,$2500,$1900,https://teleport.org/cities/london/,London,"By Matteo Pozzi

London is packed with endless opportunities: it is one of the world's most inviting cities for startups, as well as home to world-class schools, universities and museums. There is a robust transport network offering fast and easy commuting around London. With its vibrant multicultural environment, London offers an enormous variety of cuisines, recreational opportunities and cultural activities that appeal to virtually any interest.
London is one of the top ten city matches for 17.3% of Teleport users."
136,152,0.13,8,61,24,California Institute of Technology,https://teleport.org/cities/los-angeles/,$50.00,$2.60,$88.00,$14.00,https://teleport.org/cities/los-angeles/,$2700,$2300,$1800,https://teleport.org/cities/los-angeles/,Los-Angeles,"Los Angeles is a sprawling city of 500 square miles and the heart of a metropolitan area with 18 million residents. It is a fabled California region, home to Hollywood and America's entertainment industry with year-round sunshine, world-famous beaches, and an intense car culture. The ""City of Angels"" is a magnet to people from around the world and a uniquely exciting environment.
Los Angeles is one of the top ten city matches for 11.5% of Teleport users."
137,22,0.12,14,120,16,478.04,https://teleport.org/cities/louisville/,$36.00,$3.10,$56.00,$11.00,https://teleport.org/cities/louisville/,$1100,$950,$750,https://teleport.org/cities/louisville/,Louisville,"Louisville, Kentucky, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality."
138,62,0.48,1,15,25,494.80,https://teleport.org/cities/luxembourg/,$76.00,$1.70,$48.00,$20.00,https://teleport.org/cities/luxembourg/,$2700,$2100,$1500,https://teleport.org/cities/luxembourg/,Luxembourg,"Luxembourg, Luxembourg, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Luxembourg is one of the top ten city matches for 1.6% of Teleport users."
139,16,0.60,0,7,No hay dato,No hay dato,https://teleport.org/cities/lviv/,$16.00,$0.55,$5.50,$3.10,https://teleport.org/cities/lviv/,$410,$320,$230,https://teleport.org/cities/lviv/,Lviv,"Lviv, Ukraine, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and leisure & culture."
140,78,0.81,3,31,19,École Normale Supérieure de Lyon,https://teleport.org/cities/lyon/,$57.00,$2.40,$72.00,$16.00,https://teleport.org/cities/lyon/,$1500,$1200,$840,https://teleport.org/cities/lyon/,Lyon,"Lyon, France, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.
Lyon is one of the top ten city matches for 0.3% of Teleport users."
141,11,0.11,10,69,24,University of Wisconsin-Madison,https://teleport.org/cities/madison/,$41.00,$1.70,$64.00,$14.00,https://teleport.org/cities/madison/,$1600,$1300,$1000,https://teleport.org/cities/madison/,Madison,"Madison, Wisconsin, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Madison is one of the top ten city matches for 2.7% of Teleport users."
142,158,0.48,1,10,22,Autonomous University of Madrid,https://teleport.org/cities/madrid/,$46.00,$1.00,$71.00,$13.00,https://teleport.org/cities/madrid/,$1500,$1200,$870,https://teleport.org/cities/madrid/,Madrid,"Madrid, Spain, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Madrid is one of the top ten city matches for 6.3% of Teleport users."
143,115,0.35,1,10,17,490.84,https://teleport.org/cities/malaga/,$38.00,$0.80,$49.00,$11.00,https://teleport.org/cities/malaga/,$920,$780,$640,https://teleport.org/cities/malaga/,Malaga,"Malaga, Spain, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom."
144,126,0.39,1,21,13,481.75,https://teleport.org/cities/malmo/,$36.00,$1.60,$62.00,$12.00,https://teleport.org/cities/malmo/,$1300,$1000,$770,https://teleport.org/cities/malmo/,Malmo,"Malmo, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality."
145,8,No hay dato,5,8,No hay dato,No hay dato,https://teleport.org/cities/managua/,$17.00,$1.10,$4.40,$37.00,https://teleport.org/cities/managua/,$500,$400,$290,https://teleport.org/cities/managua/,Managua,"Managua, Nicaragua, features a very safe living environment. This urban area is consistently ahead in tolerance."
