,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Large_apartment,Medium_apartment,Small_apartment,cities,Description,Poblacion,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita_uno,Growth,GDP_per_capita_otro,Unemployment,url,Average_Annual_percent_sunshine
60,20,No hay dato,1,23,12,University of Canterbury,$42.00,$2.70,$81.00,$12.00,$1400,$1100,$870,Christchurch,"Christchurch, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","383,100",93.65,✔ Equal,✔ Sexual orientation and gender identity,0.72,0.15,41,29,11,14,NZD,$35151.75,1%,"$35,152",5%,https://teleport.org/cities/christchurch/,238.3
61,48,0.11,11,91,24,University of Cincinnati,$31.00,$2.10,$100.00,$12.00,$1400,$1100,$840,Cincinnati,"Cincinnati, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Cincinnati is one of the top ten city matches for 0.2% of Teleport users.","1,225,000",66.79,✔ Equal,✖ No protections,0.39,0.07,189,189,79,79,USD,$54596.65,1%,"$54,597",5%,https://teleport.org/cities/cincinnati/,82
62,56,0.11,11,91,24,Case Western Reserve University,$36.00,$1.70,$91.00,$13.00,$1200,$970,$770,Cleveland,"Cleveland, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","1,781,100",66.79,✔ Equal,✖ No protections,0.28,0.08,189,124,71,66,USD,$54596.65,-4%,"$54,597",5%,https://teleport.org/cities/cleveland/,66
63,18,0.19,0,1,40,Babeş-Bolyai University,$36.00,$0.79,$16.00,$6.20,$630,$490,$360,Cluj-Napoca,"Cluj-Napoca, Romania, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and taxation.","349,500",77.95,✔ Equal,✔ Sexual orientation and gender identity,0.93,0.20,53,61,23,13,RON,$19711.63,-41%,"$19,712",7%,https://teleport.org/cities/cluj-napoca/,12.8
64,169,0.73,1,30,10,University of Cologne,$34.00,$1.30,$110.00,$13.00,$1600,$1200,$820,Cologne,"Cologne, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","1,941,600",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,88,91,64,37,EUR,$45888.42,3%,"$45,888",4%,https://teleport.org/cities/cologne/,138
65,11,0.12,12,103,16,478.04,$41.00,$2.20,$64.00,$14.00,$1500,$1200,$890,Colorado-Springs,"Colorado Springs, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.","551,500",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.89,0.08,90,77,37,22,USD,$54596.65,8%,"$54,597",5%,https://teleport.org/cities/colorado-springs/,127
66,34,0.11,11,91,24,Ohio State University,$42.00,$2.30,$65.00,$13.00,$1400,$1100,$890,Columbus,"Columbus, Ohio, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.
Columbus is one of the top ten city matches for 0.9% of Teleport users.","1,485,400",66.79,✔ Equal,✖ No protections,0.51,0.07,135,97,81,82,USD,$54596.65,5%,"$54,597",5%,https://teleport.org/cities/columbus/,72
67,126,0.69,1,12,13,University of Copenhagen,$38.00,$1.80,$76.00,$19.00,$2300,$1700,$1200,Copenhagen,"By Maria Rahamägi

Copenhagen is a city with a small-town vibe. The city is best explored by bike using one of the world's most developed bike-path system and its countless cafés, bars, and parks are never far away. The high standard of living, easy access to Internet, modern metro system and a thriving business environment attract talent from all over the world.
Copenhagen is one of the top ten city matches for 15.3% of Teleport users.","1,446,900",93.03,✔ Equal,✔ Sexual orientation and gender identity,0.86,0.25,105,153,55,113,DKK,$44342.66,8%,"$44,343",4%,https://teleport.org/cities/copenhagen/,13
68,30,0.27,1,4,9,University College Cork,$52.00,$2.60,$95.00,$13.00,$1700,$1400,$1200,Cork,"Cork, Ireland, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","190,400",85.91,✔ Equal,Sexual orientation only,0.85,0.23,19,26,9,11,EUR,$49194.77,-2%,"$49,195",8%,https://teleport.org/cities/cork/,161
69,23,No hay dato,21,8,52,Federal University of Paraná (UFPR),$36.00,$1.30,$55.00,$5.90,$560,$450,$350,Curitiba,"Curitiba, Brazil, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, environmental quality and leisure & culture.","2,049,100",0.60,✔ Legal,✔ Legal,✔ Legal,0.42,153,130,87,107,BRL,$16096.32,4%,"$16,096",13%,https://teleport.org/cities/curitiba/,228
70,190,0.14,11,123,24,University of Texas at Dallas,$44.00,$2.30,$76.00,$13.00,$1800,$1400,$1100,Dallas,"Dallas, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Dallas is one of the top ten city matches for 6.0% of Teleport users.","6,484,300",64.44,✔ Equal,✖ No protections,0.41,0.08,265,302,141,183,USD,$54596.65,11%,"$54,597",5%,https://teleport.org/cities/dallas/,136
71,25,0.11,33,1,No hay dato,No hay dato,$88.00,$1.20,$32.00,$5.20,$1400,$920,$480,Dar-es-Salaam,"Dar es Salaam, Tanzania, differentiates itself with low living costs. This urban area is consistently ahead in housing.","2,730,200",26.32,✔ Equal,✖ No protections,0.31,0.18,10,21,4,5,TZS,$2666.71,34%,"$2,667",No hay dato,https://teleport.org/cities/dar-es-salaam/,12.5
72,97,0.67,0,4,No hay dato,Indian Institute of Technology Delhi,$36.00,$1.70,$20.00,$6.10,$460,$360,$260,Delhi,"Delhi, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Delhi is one of the top ten city matches for 2.5% of Teleport users.","15,703,900",24.29,✔ Equal,Ambiguous,0.40,0.06,103,91,46,61,INR,$5855.31,10%,"$5,855",8%,https://teleport.org/cities/delhi/,12.6
73,169,0.12,12,103,16,478.04,$43.00,$2.20,$110.00,$15.00,$2000,$1700,$1400,Denver,"Denver, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Denver is one of the top ten city matches for 4.1% of Teleport users.","2,484,200",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.62,0.08,276,193,99,133,USD,$54596.65,7%,"$54,597",5%,https://teleport.org/cities/denver/,115
74,17,0.12,8,52,16,478.04,$35.00,$1.90,$51.00,$9.90,$1300,$1000,$800,Des-Moines,"Des Moines, Iowa, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.","409,200",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.74,0.06,91,111,27,43,USD,$54596.65,7%,"$54,597",5%,https://teleport.org/cities/des-moines/,105
75,137,0.12,12,39,24,University of Michigan,$35.00,$2.70,$49.00,$11.00,$1400,$1200,$880,Detroit,"Detroit, Michigan, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and leisure & culture.
Detroit is one of the top ten city matches for 0.5% of Teleport users.","4,139,400",63.24,✔ Equal,✖ No protections,0.10,0.06,308,261,156,190,USD,$54596.65,-3%,"$54,597",5%,https://teleport.org/cities/detroit/,76
76,116,No hay dato,0,19,49,Qatar University,$140.00,$3.80,$49.00,$11.00,$2800,$2300,$1700,Doha,"Doha, Qatar, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","678,400",15.48,✔ Equal,✖ No protections,0.89,No hay dato,64,34,31,42,QAR,$143426.98,-39%,"$143,427",1%,https://teleport.org/cities/doha/,12.6
77,18,0.55,1,30,10,TU Dresden,$43.00,$0.80,$73.00,$9.80,$1100,$800,$550,Dresden,"Dresden, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","630,800",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,62,80,61,17,EUR,$45888.42,1%,"$45,888",4%,https://teleport.org/cities/dresden/,298
78,215,No hay dato,1,22,41,American University of Sharjah,$100.00,$2.90,$72.00,$12.00,$2500,$2000,$1500,Dubai,"Dubai, United Arab Emirates, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and safety.
Dubai is one of the top ten city matches for 6.9% of Teleport users.","1,907,300",23.96,,✖ No protections,0.87,No hay dato,119,89,48,45,AED,$64478.67,12%,"$64,479",2%,https://teleport.org/cities/dubai/,337
79,144,0.32,1,4,9,Trinity College Dublin,$49.00,$3.10,$150.00,$17.00,$2600,$2100,$1600,Dublin,"Dublin is a city marked by its long history and rich background. The city center is compact, rich in urban greenery, and can be easily traversed on foot. Due to its great travel connections, tax incentives and relatively close time zone to the US, most of the largest American technology companies have their headquarters in Dublin. There are also over 1,200 startups in the city attracted by the acces to venture capital and high speed Internet.
Dublin is one of the top ten city matches for 4.9% of Teleport users.","1,948,500",85.91,✔ Equal,Sexual orientation only,0.59,0.23,72,74,35,46,EUR,$49194.77,4%,"$49,195",8%,https://teleport.org/cities/dublin/,174
80,169,0.61,1,30,9,517.09,$42.00,$1.00,$81.00,$14.00,$1600,$1200,$820,Dusseldorf,"Dusseldorf, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","1,098,500",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,82,81,50,36,EUR,$45888.42,1%,"$45,888",4%,https://teleport.org/cities/dusseldorf/,No hay dato
81,117,0.61,0,6,17,University of Edinburgh,$45.00,$2.90,$81.00,$15.00,$1700,$1400,$1100,Edinburgh,"Edinburgh is truly steeped in history—even its New Town was built in the 18th century. It also boasts breathtaking views of a hilly scenery and proximity to nature. With a population of 465 thousand people, walkable distances and amazing public transport, you are more likely to stumble upon your friends than in any other capital. Despite its small size, Edinburgh is still the second largest financial center in the UK after London.
Edinburgh is one of the top ten city matches for 4.8% of Teleport users.","518,200",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,103,75,30,16,GBP,$39510.94,2%,"$39,511",5%,https://teleport.org/cities/edinburgh/,227.8
82,38,0.15,2,31,5,University of Alberta,$48.00,$2.40,$72.00,$15.00,$1200,$1100,$980,Edmonton,"Edmonton, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","853,800",0.80,✔ Legal,✔ Legal,✔ Legal,0.05,80,95,29,43,CAD,$44843.44,10%,"$44,843",7%,https://teleport.org/cities/edmonton/,288.2
83,79,0.57,1,4,10,Eindhoven University of Technology,$28.00,$1.10,$88.00,$17.00,$1500,$1200,$980,Eindhoven,"Eindhoven, Netherlands, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Eindhoven is one of the top ten city matches for 2.7% of Teleport users.","632,800",97.37,✔ Equal,✔ Sexual orientation and gender identity,0.87,0.21,98,124,53,42,EUR,$47354.53,1%,"$47,355",6%,https://teleport.org/cities/eindhoven/,281
84,9,0.11,12,93,24,University of Oregon,$41.00,$2.80,$53.00,$11.00,$1500,$1100,$750,Eugene,"Eugene, Oregon, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","224,300",96.88,✔ Equal,✔ Sexual orientation and gender identity,0.80,No hay dato,70,49,10,9,USD,$54596.65,2%,"$54,597",5%,https://teleport.org/cities/eugene/,75
85,78,0.48,1,12,26,University of Florence,$82.00,$1.70,$41.00,$14.00,$1300,$1100,$790,Florence,"Florence, Italy, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","485,400",0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,85,79,65,43,EUR,$35486.17,-2%,"$35,486",11%,https://teleport.org/cities/florence/,282
86,12,No hay dato,21,8,52,Federal University of Santa Catarina,$38.00,$1.30,$57.00,$6.80,$680,$540,$400,Florianopolis,"Florianopolis, Brazil, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and tolerance.","617,700",0.60,✔ Legal,✔ Legal,✔ Legal,0.42,122,135,41,57,BRL,$16096.32,8%,"$16,096",13%,https://teleport.org/cities/florianopolis/,225
87,2,0.12,12,103,24,Colorado State University,$25.00,$2.30,$11.00,$44.00,$1800,$1400,$1100,Fort-Collins,"Fort Collins, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","163,600",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.94,0.07,65,77,11,9,USD,$54596.65,7%,"$54,597",5%,https://teleport.org/cities/fort-collins/,330
88,239,0.71,1,30,10,Goethe University Frankfurt,$51.00,$1.10,$98.00,$16.00,$1700,$1300,$960,Frankfurt,"Frankfurt, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.
Frankfurt is one of the top ten city matches for 4.4% of Teleport users.","4,508,200",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,170,238,149,122,EUR,$45888.42,1%,"$45,888",4%,https://teleport.org/cities/frankfurt/,302
89,38,1.00,0,1,3,Kyushu University,$82.00,$2.30,$15.00,$68.00,$980,$780,$580,Fukuoka,"Fukuoka, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.","2,786,500",0.54,Ambiguous,✔ Legal,✖ Unrecognized,0.08,134,93,143,113,JPY,$37389.79,-1%,"$37,390",3%,https://teleport.org/cities/fukuoka/,90
90,47,0.30,0,1,14,Gdańsk University of Technology,$46.00,$0.93,$26.00,$7.70,$860,$680,$510,Gdansk,"Gdansk, Poland, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and environmental quality.","537,500",0.42,✖ Illegal,✔ Legal,✖ Unrecognized,0.23,77,49,40,9,PLN,$25105.40,0%,"$25,105",10%,https://teleport.org/cities/gdansk/,181
91,101,0.70,3,24,11,University of Geneva,$120.00,$2.60,$83.00,$28.00,$3500,$2800,$2100,Geneva,"Geneva, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Geneva is one of the top ten city matches for 2.8% of Teleport users.","626,900",81.79,✔ Equal,✔ Sexual orientation and gender identity,0.89,0.08,76,85,62,65,CHF,$58087.21,7%,"$58,087",3%,https://teleport.org/cities/geneva/,44
92,16,No hay dato,2,17,No hay dato,No hay dato,$30.00,$1.30,$8.80,$75.00,$2900,$2200,$1400,Gibraltar,"Gibraltar, Gibraltar, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.","26,500",0.89,No hay dato,No hay dato,No hay dato,No hay dato,2,0.10,0.20,0.10,GIP,No hay dato,1%,3%,No hay dato,https://teleport.org/cities/gibraltar/,12.6
93,117,0.71,0,6,17,University of Glasgow,$44.00,$2.00,$64.00,$16.00,$1400,$1100,$750,Glasgow,"By Jaanika Jensen

Glasgow is an outgoing, friendly and international city with a historic flavor. It offers a high quality of life and a wide range of cultural activities including concerts, fairs, sports events and festivals, making it a highly sociable environment. The unpredictable weather might be a challenge for some, but as the business and cultural center of Scotland, it's an exciting choice.
Glasgow is one of the top ten city matches for 0.6% of Teleport users.","848,100",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,73,44,29,23,GBP,$39510.94,0%,"$39,511",5%,https://teleport.org/cities/glasgow/,198
94,48,0.46,1,21,19,University of Gothenburg,$46.00,$1.80,$74.00,$12.00,$1400,$1200,$960,Gothenburg,"Gothenburg, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","842,800",93.59,✔ Equal,✔ Sexual orientation and gender identity,0.31,0.25,60,61,37,49,SEK,$45986.38,5%,"$45,986",7%,https://teleport.org/cities/gothenburg/,13.2
95,0.10,No hay dato,3,31,19,Joseph Fourier University,$49.00,$1.80,$65.00,$17.00,$1200,$950,$700,Grenoble,"Grenoble, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare.","301,800",0.77,✔ Legal,✔ Legal,✔ Legal,0.20,20,16,16,16,EUR,$40374.53,-1%,"$40,375",10%,https://teleport.org/cities/grenoble/,12.8
96,41,0.10,11,15,41,413.57,$34.00,$0.92,$20.00,$6.10,$570,$460,$340,Guadalajara,"Guadalajara, Mexico, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.","3,622,600",0.61,✔ Legal,✔ Legal,✔ Legal,0.16,177,203,74,160,MXN,$17880.51,-1%,"$17,881",4%,https://teleport.org/cities/guadalajara/,277.1
97,19,No hay dato,34,13,No hay dato,No hay dato,$67.00,$1.60,$15.00,$5.10,$720,$620,$520,Guatemala-City,"Guatemala City, Guatemala, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, taxation and tolerance.
Guatemala City is one of the top ten city matches for 0.2% of Teleport users.","2,782,300",80.03,✔ Equal,Sexual orientation only,0.62,0.12,82,81,54,43,GTQ,$7503.47,5%,"$7,503",3%,https://teleport.org/cities/guatemala-city/,222
98,28,0.12,2,31,5,Dalhousie University,$45.00,$2.50,$60.00,$14.00,$1300,$1100,$870,Halifax,"Halifax, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","501,800",0.80,✔ Legal,✔ Legal,✔ Legal,0.05,34,53,19,16,CAD,$44843.44,3%,"$44,843",7%,https://teleport.org/cities/halifax/,200
99,90,0.71,1,30,9,517.09,$46.00,$1.20,$100.00,$14.00,$1600,$1300,$860,Hamburg,"Hamburg, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Hamburg is one of the top ten city matches for 1.1% of Teleport users.","5,978,500",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,96,117,102,93,EUR,$45888.42,1%,"$45,888",4%,https://teleport.org/cities/hamburg/,13
100,50,0.85,1,30,10,Leibniz University of Hanover,$42.00,$1.10,$73.00,$10.00,$1100,$850,$650,Hannover,"Hannover, Germany, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.","647,500",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,65,63,25,15,EUR,$45888.42,0%,"$45,888",4%,https://teleport.org/cities/hannover/,296
101,31,0.18,1,5,No hay dato,No hay dato,$40.00,$1.40,$17.00,$7.90,$800,$630,$450,Havana,"Havana, Cuba, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.","3,939,300",78.65,✔ Equal,✔ Sexual orientation and gender identity,0.95,No hay dato,13,0.10,0.28,0.10,CUC,$11950.00,-2%,"$11,950",3%,https://teleport.org/cities/havana/,265
102,88,0.53,3,27,6,Aalto University,$59.00,$2.60,$71.00,$14.00,$1900,$1500,$1100,Helsinki,"By Minja Orava

Helsinki is a unique mix of influences from the Nordics and the East. The city center is small enough to navigate by foot but offers a thriving underground cultural scene and more than 50 annual city festivals. Finland is a world leader in clean technology and Helsinki is very environmentally conscious with 90% of all bottles and cans recycled. The society prides itself on one of the best primary and secondary education systems in the world, equal opportunity and tolerance, creating a high standard of living and welcoming environment for innovation and tech start-ups.
Helsinki is one of the top ten city matches for 3.6% of Teleport users.","1,217,600",77.55,✔ Equal,✔ Sexual orientation and gender identity,0.71,0.24,127,116,59,82,EUR,$40346.97,6%,"$40,347",9%,https://teleport.org/cities/helsinki/,13.3
103,54,0.12,1,2,22,508.97,$27.00,$1.20,$7.90,$2.20,$880,$660,$440,Ho-Chi-Minh-City,"Ho Chi Minh City, Vietnam, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","4,312,700",55.27,✔ Equal,✖ No protections,0.64,0.10,62,63,61,58,VND,$5634.90,18%,"$5,635",4%,https://teleport.org/cities/ho-chi-minh-city/,12.5
104,171,No hay dato,0,6,2,University of Hong Kong,$82.00,$1.50,$60.00,$8.70,$3700,$2900,$2000,Hong-Kong,"Hong Kong is a world financial center with low taxation rates and free trade. The city is connected by a well-developed but cheap public transportation system and offers extensive international travel connections for its large expat community. Adding its b>ease of doing business, the free public wifi, high safety rating, and unique status within China and it's no surprise that Hong Kong is a truly international city.
Hong Kong is one of the top ten city matches for 10.2% of Teleport users.","46,645,500",55.84,✔ Equal,✖ No protections,0.87,No hay dato,132,121,149,106,HKD,$54722.12,11%,"$54,722",4%,https://teleport.org/cities/hong-kong/,12.5
105,51,0.11,3,39,24,University of Hawai’i at Mānoa,$58.00,$3.40,$64.00,$14.00,$2600,$2100,$1600,Honolulu,"Honolulu, Hawaii, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and leisure & culture.","968,800",96.55,✔ Equal,✔ Sexual orientation and gender identity,0.56,0.04,144,125,73,25,USD,$54596.65,2%,"$54,597",5%,https://teleport.org/cities/honolulu/,90
106,176,0.11,11,123,24,Rice University,$37.00,$2.10,$49.00,$13.00,$1700,$1400,$1200,Houston,"Houston, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and leisure & culture.
Houston is one of the top ten city matches for 0.5% of Teleport users.","4,356,000",64.44,✔ Equal,✖ No protections,0.42,0.08,219,221,141,173,USD,$54596.65,11%,"$54,597",5%,https://teleport.org/cities/houston/,91
107,32,0.56,0,4,No hay dato,No hay dato,$25.00,$1.40,$13.00,$3.80,$310,$250,$190,Hyderabad,"Hyderabad, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety.","5,178,600",24.29,✔ Equal,Ambiguous,0.61,0.06,37,49,18,56,INR,$5855.31,9%,"$5,855",8%,https://teleport.org/cities/hyderabad/,12.5
108,35,0.11,13,115,16,478.04,$35.00,$2.20,$64.00,$12.00,$1300,$1100,$860,Indianapolis,"Indianapolis, Indiana, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, leisure & culture and tolerance.","1,515,800",72.81,✔ Equal,✖ No protections,0.64,0.07,228,196,96,133,USD,$54596.65,6%,"$54,597",5%,https://teleport.org/cities/indianapolis/,88
109,6,1.00,3,30,20,University of Innsbruck,$55.00,$1.40,$56.00,$12.00,$1400,$1100,$810,Innsbruck,"Innsbruck, Austria, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.","318,000",88.24,✔ Equal,✔ Sexual orientation and gender identity,0.79,0.20,20,23,17,8,EUR,$46420.13,2%,"$46,420",6%,https://teleport.org/cities/innsbruck/,281
110,242,0.17,2,13,43,Koç University,$39.00,$1.80,$50.00,$6.30,$670,$550,$430,Istanbul,"Istanbul, Turkey, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and startups.
Istanbul is one of the top ten city matches for 6.0% of Teleport users.","21,735,000",0.09,Ambiguous,✔ Legal,✖ Unrecognized,0.18,237,216,165,258,TRY,$19610.44,8%,"$19,610",10%,https://teleport.org/cities/istanbul/,12.7
111,27,0.12,12,98,16,478.04,$34.00,$2.00,$51.00,$14.00,$1300,$1200,$950,Jacksonville,"Jacksonville, Florida, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.","1,082,500",67.19,✔ Equal,✖ No protections,0.46,0.07,146,173,65,85,USD,$54596.65,6%,"$54,597",5%,https://teleport.org/cities/jacksonville/,95
112,64,0.17,1,1,51,University of Indonesia,$43.00,$2.50,$18.00,$3.90,$880,$630,$390,Jakarta,"Jakarta, Indonesia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Jakarta is one of the top ten city matches for 0.4% of Teleport users.","16,341,100",0.03,Married couples only,Varies by Region,✖ Unrecognized,0.10,354,357,221,296,IDR,$10640.90,9%,"$10,641",6%,https://teleport.org/cities/jakarta/,246
113,81,0.24,33,13,No hay dato,University of the Witwatersrand,$39.00,$1.30,$60.00,$8.50,$1100,$850,$650,Johannesburg,"Johannesburg, South Africa, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.","7,084,800",0.32,✔ Legal,✔ Legal,✔ Legal,0.14,130,183,58,90,ZAR,$13046.07,10%,"$13,046",27%,https://teleport.org/cities/johannesburg/,12.5
114,43,0.12,15,76,16,478.04,$45.00,$2.20,$51.00,$12.00,$1300,$1100,$790,Kansas-City,"Kansas City, Missouri, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Kansas City is one of the top ten city matches for 2.0% of Teleport users.","1,873,100",72.14,✔ Equal,✖ No protections,0.27,0.08,188,184,88,131,USD,$54596.65,4%,"$54,597",5%,https://teleport.org/cities/kansas-city/,121
115,80,0.55,1,30,10,Karlsruhe Institute of Technology,$43.00,$1.50,$64.00,$13.00,$1100,$870,$660,Karlsruhe,"Karlsruhe, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","367,900",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,52,39,20,7,EUR,$45888.42,3%,"$45,888",4%,https://teleport.org/cities/karlsruhe/,285
116,31,No hay dato,1,1,No hay dato,No hay dato,$24.00,$2.20,$13.00,$4.00,$280,$250,$220,Kathmandu,"Kathmandu, Nepal, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.","1,625,600",87.91,✔ Equal,✔ Sexual orientation and gender identity,0.93,0.13,34,16,13,15,NPR,$2375.58,62%,"$2,376",46%,https://teleport.org/cities/kathmandu/,12.6
117,77,0.72,0,7,No hay dato,Taras Shevchenko National University of Kyiv,$22.00,$0.54,$10.00,$4.30,$620,$500,$380,Kiev,"By Andrii Gorbenko

With a history going back more than 1500 years, Kiev today is an economic and industrial center of Eastern Europe. Known for its river-front location and historical landmarks, Kiev continues to develop, and boasts several international companies serving Ukraine's large domestic market. Its expansive infrastructure offers some of the cheapest metro services in Europe, there are great leisure-time opportunities and the overall cost of living is very reasonable.
Kiev is one of the top ten city matches for 4.4% of Teleport users.","3,627,600",71.98,✔ Equal,✔ Sexual orientation and gender identity,0.64,0.20,64,61,88,51,UAH,$8668.33,1%,"$8,668",10%,https://teleport.org/cities/kiev/,No hay dato
118,19,No hay dato,31,8,No hay dato,No hay dato,$49.00,$1.80,$57.00,$5.20,$660,$530,$410,Kingston,"Kingston, Jamaica, is characterized by reasonably priced housing. When considering your preferences, this city does not have any category with a high rating.","1,671,800",34.67,✖ Unequal,✖ No protections,0.24,0.13,23,93,12,12,JMD,$8609.28,1%,"$8,609",14%,https://teleport.org/cities/kingston/,12.5
119,17,0.12,16,96,24,"University of Tennessee, Knoxville",$36.00,$3.10,$48.00,$13.00,$1200,$1000,$890,Knoxville,"Knoxville, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and internet access.","220,500",70.00,✔ Equal,✖ No protections,0.37,0.09,94,95,27,43,USD,$54596.65,5%,"$54,597",5%,https://teleport.org/cities/knoxville/,97
120,52,0.30,0,1,14,AGH University of Science and Technology,$35.00,$1.00,$28.00,$6.10,$860,$700,$540,Krakow,"Krakow, Poland, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and leisure & culture.
Krakow is one of the top ten city matches for 0.6% of Teleport users.","822,600",0.42,✖ Illegal,✔ Legal,✖ Unrecognized,0.23,83,59,48,12,PLN,$25105.40,-1%,"$25,105",10%,https://teleport.org/cities/krakow/,217
