,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,url_uno,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,url_otro,Large_apartment,Medium_apartment,Small_apartment,url_uno,cities,Description,Poblacion,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,url_otro
52,87,0.16,33,5,No hay dato,No hay dato,https://teleport.org/cities/casablanca/,$35.00,$1.80,$24.00,$6.50,https://teleport.org/cities/casablanca/,$720,$590,$450,https://teleport.org/cities/casablanca/,Casablanca,"Casablanca, Morocco, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","3,144,900",9.29,✖ Unequal,✖ No protections,0.49,0.20,56,16,16,21,MAD,$7606.20,https://teleport.org/cities/casablanca/
53,20,0.11,16,108,16,478.04,https://teleport.org/cities/charleston/,$54.00,$2.10,$55.00,$12.00,https://teleport.org/cities/charleston/,$1900,$1600,$1300,https://teleport.org/cities/charleston/,Charleston,"Charleston, South Carolina, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.","406,200",70.00,✔ Equal,✖ No protections,0.45,0.09,100,86,54,33,USD,$54596.65,https://teleport.org/cities/charleston/
54,141,0.11,12,95,16,478.04,https://teleport.org/cities/charlotte/,$28.00,$2.30,$82.00,$14.00,https://teleport.org/cities/charlotte/,$1600,$1300,$1100,https://teleport.org/cities/charlotte/,Charlotte,"Charlotte, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Charlotte is one of the top ten city matches for 2.6% of Teleport users.","964,200",67.58,Ambiguous,✖ No protections,0.68,0.07,146,137,36,32,USD,$54596.65,https://teleport.org/cities/charlotte/
55,8,0.12,16,96,16,478.04,https://teleport.org/cities/chattanooga/,$41.00,$2.30,$30.00,$13.00,https://teleport.org/cities/chattanooga/,$1300,$1100,$930,https://teleport.org/cities/chattanooga/,Chattanooga,"Chattanooga, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","422,500",70.00,✔ Equal,✖ No protections,0.25,0.09,79,61,20,28,USD,$54596.65,https://teleport.org/cities/chattanooga/
56,40,0.60,0,4,No hay dato,Indian Institute of Technology Madras,https://teleport.org/cities/chennai/,$27.00,$2.00,$14.00,$3.00,https://teleport.org/cities/chennai/,No hay dato,No hay dato,No hay dato,https://teleport.org/cities/chennai/,Chennai,"Chennai, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety.","6,020,700",24.29,✔ Equal,Ambiguous,0.69,0.06,52,81,19,57,INR,$5855.31,https://teleport.org/cities/chennai/
57,26,0.15,1,16,47,Chiang Mai University,https://teleport.org/cities/chiang-mai/,$39.00,$1.50,$34.00,$2.90,https://teleport.org/cities/chiang-mai/,$600,$450,$300,https://teleport.org/cities/chiang-mai/,Chiang-Mai,"Chiang Mai, Thailand, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Chiang Mai is one of the top ten city matches for 0.3% of Teleport users.","201,000",61.15,✔ Equal,✔ Sexual orientation and gender identity,0.76,0.10,102,107,77,43,THB,$14354.30,https://teleport.org/cities/chiang-mai/
58,217,0.19,9,80,24,University of Chicago,https://teleport.org/cities/chicago/,$59.00,$2.40,$94.00,$14.00,https://teleport.org/cities/chicago/,$2100,$1700,$1300,https://teleport.org/cities/chicago/,Chicago,"Chicago, Illinois, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Chicago is one of the top ten city matches for 5.5% of Teleport users.","9,999,900",96.90,✔ Equal,✔ Sexual orientation and gender identity,0.23,0.10,328,315,222,214,USD,$54596.65,https://teleport.org/cities/chicago/
59,25,0.13,1,7,No hay dato,40,https://teleport.org/cities/chisinau/,$50.00,$1.00,$9.30,$5.20,https://teleport.org/cities/chisinau/,$510,$390,$270,https://teleport.org/cities/chisinau/,Chisinau,"Chisinau, Moldova, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Chisinau is one of the top ten city matches for 2.1% of Teleport users.","650,900",71.12,✔ Equal,Ambiguous,0.61,0.20,33,22,16,6,MDL,$4979.33,https://teleport.org/cities/chisinau/
60,20,No hay dato,1,23,12,University of Canterbury,https://teleport.org/cities/christchurch/,$42.00,$2.70,$81.00,$12.00,https://teleport.org/cities/christchurch/,$1400,$1100,$870,https://teleport.org/cities/christchurch/,Christchurch,"Christchurch, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","383,100",93.65,✔ Equal,✔ Sexual orientation and gender identity,0.72,0.15,41,29,11,14,NZD,$35151.75,https://teleport.org/cities/christchurch/
61,48,0.11,11,91,24,University of Cincinnati,https://teleport.org/cities/cincinnati/,$31.00,$2.10,$100.00,$12.00,https://teleport.org/cities/cincinnati/,$1400,$1100,$840,https://teleport.org/cities/cincinnati/,Cincinnati,"Cincinnati, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Cincinnati is one of the top ten city matches for 0.2% of Teleport users.","1,225,000",66.79,✔ Equal,✖ No protections,0.39,0.07,189,189,79,79,USD,$54596.65,https://teleport.org/cities/cincinnati/
62,56,0.11,11,91,24,Case Western Reserve University,https://teleport.org/cities/cleveland/,$36.00,$1.70,$91.00,$13.00,https://teleport.org/cities/cleveland/,$1200,$970,$770,https://teleport.org/cities/cleveland/,Cleveland,"Cleveland, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","1,781,100",66.79,✔ Equal,✖ No protections,0.28,0.08,189,124,71,66,USD,$54596.65,https://teleport.org/cities/cleveland/
63,18,0.19,0,1,40,Babeş-Bolyai University,https://teleport.org/cities/cluj-napoca/,$36.00,$0.79,$16.00,$6.20,https://teleport.org/cities/cluj-napoca/,$630,$490,$360,https://teleport.org/cities/cluj-napoca/,Cluj-Napoca,"Cluj-Napoca, Romania, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and taxation.","349,500",77.95,✔ Equal,✔ Sexual orientation and gender identity,0.93,0.20,53,61,23,13,RON,$19711.63,https://teleport.org/cities/cluj-napoca/
64,169,0.73,1,30,10,University of Cologne,https://teleport.org/cities/cologne/,$34.00,$1.30,$110.00,$13.00,https://teleport.org/cities/cologne/,$1600,$1200,$820,https://teleport.org/cities/cologne/,Cologne,"Cologne, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","1,941,600",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,88,91,64,37,EUR,$45888.42,https://teleport.org/cities/cologne/
65,11,0.12,12,103,16,478.04,https://teleport.org/cities/colorado-springs/,$41.00,$2.20,$64.00,$14.00,https://teleport.org/cities/colorado-springs/,$1500,$1200,$890,https://teleport.org/cities/colorado-springs/,Colorado-Springs,"Colorado Springs, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.","551,500",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.89,0.08,90,77,37,22,USD,$54596.65,https://teleport.org/cities/colorado-springs/
66,34,0.11,11,91,24,Ohio State University,https://teleport.org/cities/columbus/,$42.00,$2.30,$65.00,$13.00,https://teleport.org/cities/columbus/,$1400,$1100,$890,https://teleport.org/cities/columbus/,Columbus,"Columbus, Ohio, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.
Columbus is one of the top ten city matches for 0.9% of Teleport users.","1,485,400",66.79,✔ Equal,✖ No protections,0.51,0.07,135,97,81,82,USD,$54596.65,https://teleport.org/cities/columbus/
67,126,0.69,1,12,13,University of Copenhagen,https://teleport.org/cities/copenhagen/,$38.00,$1.80,$76.00,$19.00,https://teleport.org/cities/copenhagen/,$2300,$1700,$1200,https://teleport.org/cities/copenhagen/,Copenhagen,"By Maria Rahamägi

Copenhagen is a city with a small-town vibe. The city is best explored by bike using one of the world's most developed bike-path system and its countless cafés, bars, and parks are never far away. The high standard of living, easy access to Internet, modern metro system and a thriving business environment attract talent from all over the world.
Copenhagen is one of the top ten city matches for 15.3% of Teleport users.","1,446,900",93.03,✔ Equal,✔ Sexual orientation and gender identity,0.86,0.25,105,153,55,113,DKK,$44342.66,https://teleport.org/cities/copenhagen/
68,30,0.27,1,4,9,University College Cork,https://teleport.org/cities/cork/,$52.00,$2.60,$95.00,$13.00,https://teleport.org/cities/cork/,$1700,$1400,$1200,https://teleport.org/cities/cork/,Cork,"Cork, Ireland, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","190,400",85.91,✔ Equal,Sexual orientation only,0.85,0.23,19,26,9,11,EUR,$49194.77,https://teleport.org/cities/cork/
69,23,No hay dato,21,8,52,Federal University of Paraná (UFPR),https://teleport.org/cities/curitiba/,$36.00,$1.30,$55.00,$5.90,https://teleport.org/cities/curitiba/,$560,$450,$350,https://teleport.org/cities/curitiba/,Curitiba,"Curitiba, Brazil, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, environmental quality and leisure & culture.","2,049,100",0.60,✔ Legal,✔ Legal,✔ Legal,0.42,153,130,87,107,BRL,$16096.32,https://teleport.org/cities/curitiba/
70,190,0.14,11,123,24,University of Texas at Dallas,https://teleport.org/cities/dallas/,$44.00,$2.30,$76.00,$13.00,https://teleport.org/cities/dallas/,$1800,$1400,$1100,https://teleport.org/cities/dallas/,Dallas,"Dallas, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Dallas is one of the top ten city matches for 6.0% of Teleport users.","6,484,300",64.44,✔ Equal,✖ No protections,0.41,0.08,265,302,141,183,USD,$54596.65,https://teleport.org/cities/dallas/
71,25,0.11,33,1,No hay dato,No hay dato,https://teleport.org/cities/dar-es-salaam/,$88.00,$1.20,$32.00,$5.20,https://teleport.org/cities/dar-es-salaam/,$1400,$920,$480,https://teleport.org/cities/dar-es-salaam/,Dar-es-Salaam,"Dar es Salaam, Tanzania, differentiates itself with low living costs. This urban area is consistently ahead in housing.","2,730,200",26.32,✔ Equal,✖ No protections,0.31,0.18,10,21,4,5,TZS,$2666.71,https://teleport.org/cities/dar-es-salaam/
72,97,0.67,0,4,No hay dato,Indian Institute of Technology Delhi,https://teleport.org/cities/delhi/,$36.00,$1.70,$20.00,$6.10,https://teleport.org/cities/delhi/,$460,$360,$260,https://teleport.org/cities/delhi/,Delhi,"Delhi, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Delhi is one of the top ten city matches for 2.5% of Teleport users.","15,703,900",24.29,✔ Equal,Ambiguous,0.40,0.06,103,91,46,61,INR,$5855.31,https://teleport.org/cities/delhi/
73,169,0.12,12,103,16,478.04,https://teleport.org/cities/denver/,$43.00,$2.20,$110.00,$15.00,https://teleport.org/cities/denver/,$2000,$1700,$1400,https://teleport.org/cities/denver/,Denver,"Denver, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Denver is one of the top ten city matches for 4.1% of Teleport users.","2,484,200",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.62,0.08,276,193,99,133,USD,$54596.65,https://teleport.org/cities/denver/
74,17,0.12,8,52,16,478.04,https://teleport.org/cities/des-moines/,$35.00,$1.90,$51.00,$9.90,https://teleport.org/cities/des-moines/,$1300,$1000,$800,https://teleport.org/cities/des-moines/,Des-Moines,"Des Moines, Iowa, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.","409,200",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.74,0.06,91,111,27,43,USD,$54596.65,https://teleport.org/cities/des-moines/
75,137,0.12,12,39,24,University of Michigan,https://teleport.org/cities/detroit/,$35.00,$2.70,$49.00,$11.00,https://teleport.org/cities/detroit/,$1400,$1200,$880,https://teleport.org/cities/detroit/,Detroit,"Detroit, Michigan, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and leisure & culture.
Detroit is one of the top ten city matches for 0.5% of Teleport users.","4,139,400",63.24,✔ Equal,✖ No protections,0.10,0.06,308,261,156,190,USD,$54596.65,https://teleport.org/cities/detroit/
76,116,No hay dato,0,19,49,Qatar University,https://teleport.org/cities/doha/,$140.00,$3.80,$49.00,$11.00,https://teleport.org/cities/doha/,$2800,$2300,$1700,https://teleport.org/cities/doha/,Doha,"Doha, Qatar, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","678,400",15.48,✔ Equal,✖ No protections,0.89,No hay dato,64,34,31,42,QAR,$143426.98,https://teleport.org/cities/doha/
77,18,0.55,1,30,10,TU Dresden,https://teleport.org/cities/dresden/,$43.00,$0.80,$73.00,$9.80,https://teleport.org/cities/dresden/,$1100,$800,$550,https://teleport.org/cities/dresden/,Dresden,"Dresden, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","630,800",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,62,80,61,17,EUR,$45888.42,https://teleport.org/cities/dresden/
78,215,No hay dato,1,22,41,American University of Sharjah,https://teleport.org/cities/dubai/,$100.00,$2.90,$72.00,$12.00,https://teleport.org/cities/dubai/,$2500,$2000,$1500,https://teleport.org/cities/dubai/,Dubai,"Dubai, United Arab Emirates, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and safety.
Dubai is one of the top ten city matches for 6.9% of Teleport users.","1,907,300",23.96,N/A,✖ No protections,0.87,No hay dato,119,89,48,45,AED,$64478.67,https://teleport.org/cities/dubai/
79,144,0.32,1,4,9,Trinity College Dublin,https://teleport.org/cities/dublin/,$49.00,$3.10,$150.00,$17.00,https://teleport.org/cities/dublin/,$2600,$2100,$1600,https://teleport.org/cities/dublin/,Dublin,"Dublin is a city marked by its long history and rich background. The city center is compact, rich in urban greenery, and can be easily traversed on foot. Due to its great travel connections, tax incentives and relatively close time zone to the US, most of the largest American technology companies have their headquarters in Dublin. There are also over 1,200 startups in the city attracted by the acces to venture capital and high speed Internet.
Dublin is one of the top ten city matches for 4.9% of Teleport users.","1,948,500",85.91,✔ Equal,Sexual orientation only,0.59,0.23,72,74,35,46,EUR,$49194.77,https://teleport.org/cities/dublin/
80,169,0.61,1,30,9,517.09,https://teleport.org/cities/dusseldorf/,$42.00,$1.00,$81.00,$14.00,https://teleport.org/cities/dusseldorf/,$1600,$1200,$820,https://teleport.org/cities/dusseldorf/,Dusseldorf,"Dusseldorf, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","1,098,500",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,82,81,50,36,EUR,$45888.42,https://teleport.org/cities/dusseldorf/
81,117,0.61,0,6,17,University of Edinburgh,https://teleport.org/cities/edinburgh/,$45.00,$2.90,$81.00,$15.00,https://teleport.org/cities/edinburgh/,$1700,$1400,$1100,https://teleport.org/cities/edinburgh/,Edinburgh,"Edinburgh is truly steeped in history—even its New Town was built in the 18th century. It also boasts breathtaking views of a hilly scenery and proximity to nature. With a population of 465 thousand people, walkable distances and amazing public transport, you are more likely to stumble upon your friends than in any other capital. Despite its small size, Edinburgh is still the second largest financial center in the UK after London.
Edinburgh is one of the top ten city matches for 4.8% of Teleport users.","518,200",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,103,75,30,16,GBP,$39510.94,https://teleport.org/cities/edinburgh/
82,38,0.15,2,31,5,University of Alberta,https://teleport.org/cities/edmonton/,$48.00,$2.40,$72.00,$15.00,https://teleport.org/cities/edmonton/,$1200,$1100,$980,https://teleport.org/cities/edmonton/,Edmonton,"Edmonton, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","853,800",0.80,✔ Legal,✔ Legal,✔ Legal,0.05,80,95,29,43,CAD,$44843.44,https://teleport.org/cities/edmonton/
83,79,0.57,1,4,10,Eindhoven University of Technology,https://teleport.org/cities/eindhoven/,$28.00,$1.10,$88.00,$17.00,https://teleport.org/cities/eindhoven/,$1500,$1200,$980,https://teleport.org/cities/eindhoven/,Eindhoven,"Eindhoven, Netherlands, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Eindhoven is one of the top ten city matches for 2.7% of Teleport users.","632,800",97.37,✔ Equal,✔ Sexual orientation and gender identity,0.87,0.21,98,124,53,42,EUR,$47354.53,https://teleport.org/cities/eindhoven/
84,9,0.11,12,93,24,University of Oregon,https://teleport.org/cities/eugene/,$41.00,$2.80,$53.00,$11.00,https://teleport.org/cities/eugene/,$1500,$1100,$750,https://teleport.org/cities/eugene/,Eugene,"Eugene, Oregon, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","224,300",96.88,✔ Equal,✔ Sexual orientation and gender identity,0.80,No hay dato,70,49,10,9,USD,$54596.65,https://teleport.org/cities/eugene/
85,78,0.48,1,12,26,University of Florence,https://teleport.org/cities/florence/,$82.00,$1.70,$41.00,$14.00,https://teleport.org/cities/florence/,$1300,$1100,$790,https://teleport.org/cities/florence/,Florence,"Florence, Italy, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","485,400",0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,85,79,65,43,EUR,$35486.17,https://teleport.org/cities/florence/
86,12,No hay dato,21,8,52,Federal University of Santa Catarina,https://teleport.org/cities/florianopolis/,$38.00,$1.30,$57.00,$6.80,https://teleport.org/cities/florianopolis/,$680,$540,$400,https://teleport.org/cities/florianopolis/,Florianopolis,"Florianopolis, Brazil, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and tolerance.","617,700",0.60,✔ Legal,✔ Legal,✔ Legal,0.42,122,135,41,57,BRL,$16096.32,https://teleport.org/cities/florianopolis/
87,2,0.12,12,103,24,Colorado State University,https://teleport.org/cities/fort-collins/,$25.00,$2.30,$11.00,$44.00,https://teleport.org/cities/fort-collins/,$1800,$1400,$1100,https://teleport.org/cities/fort-collins/,Fort-Collins,"Fort Collins, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","163,600",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.94,0.07,65,77,11,9,USD,$54596.65,https://teleport.org/cities/fort-collins/
88,239,0.71,1,30,10,Goethe University Frankfurt,https://teleport.org/cities/frankfurt/,$51.00,$1.10,$98.00,$16.00,https://teleport.org/cities/frankfurt/,$1700,$1300,$960,https://teleport.org/cities/frankfurt/,Frankfurt,"Frankfurt, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.
Frankfurt is one of the top ten city matches for 4.4% of Teleport users.","4,508,200",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,170,238,149,122,EUR,$45888.42,https://teleport.org/cities/frankfurt/
89,38,1.00,0,1,3,Kyushu University,https://teleport.org/cities/fukuoka/,$82.00,$2.30,$15.00,$68.00,https://teleport.org/cities/fukuoka/,$980,$780,$580,https://teleport.org/cities/fukuoka/,Fukuoka,"Fukuoka, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.","2,786,500",0.54,Ambiguous,✔ Legal,✖ Unrecognized,0.08,134,93,143,113,JPY,$37389.79,https://teleport.org/cities/fukuoka/
90,47,0.30,0,1,14,Gdańsk University of Technology,https://teleport.org/cities/gdansk/,$46.00,$0.93,$26.00,$7.70,https://teleport.org/cities/gdansk/,$860,$680,$510,https://teleport.org/cities/gdansk/,Gdansk,"Gdansk, Poland, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and environmental quality.","537,500",0.42,✖ Illegal,✔ Legal,✖ Unrecognized,0.23,77,49,40,9,PLN,$25105.40,https://teleport.org/cities/gdansk/
91,101,0.70,3,24,11,University of Geneva,https://teleport.org/cities/geneva/,$120.00,$2.60,$83.00,$28.00,https://teleport.org/cities/geneva/,$3500,$2800,$2100,https://teleport.org/cities/geneva/,Geneva,"Geneva, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Geneva is one of the top ten city matches for 2.8% of Teleport users.","626,900",81.79,✔ Equal,✔ Sexual orientation and gender identity,0.89,0.08,76,85,62,65,CHF,$58087.21,https://teleport.org/cities/geneva/
92,16,No hay dato,2,17,No hay dato,No hay dato,https://teleport.org/cities/gibraltar/,$30.00,$1.30,$8.80,$75.00,https://teleport.org/cities/gibraltar/,$2900,$2200,$1400,https://teleport.org/cities/gibraltar/,Gibraltar,"Gibraltar, Gibraltar, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.","26,500",0.89,No hay dato,No hay dato,No hay dato,No hay dato,2,0.10,0.20,0.10,GIP,No hay dato,https://teleport.org/cities/gibraltar/
93,117,0.71,0,6,17,University of Glasgow,https://teleport.org/cities/glasgow/,$44.00,$2.00,$64.00,$16.00,https://teleport.org/cities/glasgow/,$1400,$1100,$750,https://teleport.org/cities/glasgow/,Glasgow,"By Jaanika Jensen

Glasgow is an outgoing, friendly and international city with a historic flavor. It offers a high quality of life and a wide range of cultural activities including concerts, fairs, sports events and festivals, making it a highly sociable environment. The unpredictable weather might be a challenge for some, but as the business and cultural center of Scotland, it's an exciting choice.
Glasgow is one of the top ten city matches for 0.6% of Teleport users.","848,100",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,73,44,29,23,GBP,$39510.94,https://teleport.org/cities/glasgow/
94,48,0.46,1,21,19,University of Gothenburg,https://teleport.org/cities/gothenburg/,$46.00,$1.80,$74.00,$12.00,https://teleport.org/cities/gothenburg/,$1400,$1200,$960,https://teleport.org/cities/gothenburg/,Gothenburg,"Gothenburg, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","842,800",93.59,✔ Equal,✔ Sexual orientation and gender identity,0.31,0.25,60,61,37,49,SEK,$45986.38,https://teleport.org/cities/gothenburg/
95,0.10,No hay dato,3,31,19,Joseph Fourier University,https://teleport.org/cities/grenoble/,$49.00,$1.80,$65.00,$17.00,https://teleport.org/cities/grenoble/,$1200,$950,$700,https://teleport.org/cities/grenoble/,Grenoble,"Grenoble, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare.","301,800",0.77,✔ Legal,✔ Legal,✔ Legal,0.20,20,16,16,16,EUR,$40374.53,https://teleport.org/cities/grenoble/
96,41,0.10,11,15,41,413.57,https://teleport.org/cities/guadalajara/,$34.00,$0.92,$20.00,$6.10,https://teleport.org/cities/guadalajara/,$570,$460,$340,https://teleport.org/cities/guadalajara/,Guadalajara,"Guadalajara, Mexico, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.","3,622,600",0.61,✔ Legal,✔ Legal,✔ Legal,0.16,177,203,74,160,MXN,$17880.51,https://teleport.org/cities/guadalajara/
97,19,No hay dato,34,13,No hay dato,No hay dato,https://teleport.org/cities/guatemala-city/,$67.00,$1.60,$15.00,$5.10,https://teleport.org/cities/guatemala-city/,$720,$620,$520,https://teleport.org/cities/guatemala-city/,Guatemala-City,"Guatemala City, Guatemala, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, taxation and tolerance.
Guatemala City is one of the top ten city matches for 0.2% of Teleport users.","2,782,300",80.03,✔ Equal,Sexual orientation only,0.62,0.12,82,81,54,43,GTQ,$7503.47,https://teleport.org/cities/guatemala-city/
98,28,0.12,2,31,5,Dalhousie University,https://teleport.org/cities/halifax/,$45.00,$2.50,$60.00,$14.00,https://teleport.org/cities/halifax/,$1300,$1100,$870,https://teleport.org/cities/halifax/,Halifax,"Halifax, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","501,800",0.80,✔ Legal,✔ Legal,✔ Legal,0.05,34,53,19,16,CAD,$44843.44,https://teleport.org/cities/halifax/
99,90,0.71,1,30,9,517.09,https://teleport.org/cities/hamburg/,$46.00,$1.20,$100.00,$14.00,https://teleport.org/cities/hamburg/,$1600,$1300,$860,https://teleport.org/cities/hamburg/,Hamburg,"Hamburg, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Hamburg is one of the top ten city matches for 1.1% of Teleport users.","5,978,500",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,96,117,102,93,EUR,$45888.42,https://teleport.org/cities/hamburg/
100,50,0.85,1,30,10,Leibniz University of Hanover,https://teleport.org/cities/hannover/,$42.00,$1.10,$73.00,$10.00,https://teleport.org/cities/hannover/,$1100,$850,$650,https://teleport.org/cities/hannover/,Hannover,"Hannover, Germany, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.","647,500",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,65,63,25,15,EUR,$45888.42,https://teleport.org/cities/hannover/
101,31,0.18,1,5,No hay dato,No hay dato,https://teleport.org/cities/havana/,$40.00,$1.40,$17.00,$7.90,https://teleport.org/cities/havana/,$800,$630,$450,https://teleport.org/cities/havana/,Havana,"Havana, Cuba, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.","3,939,300",78.65,✔ Equal,✔ Sexual orientation and gender identity,0.95,No hay dato,13,0.10,0.28,0.10,CUC,$11950.00,https://teleport.org/cities/havana/
102,88,0.53,3,27,6,Aalto University,https://teleport.org/cities/helsinki/,$59.00,$2.60,$71.00,$14.00,https://teleport.org/cities/helsinki/,$1900,$1500,$1100,https://teleport.org/cities/helsinki/,Helsinki,"By Minja Orava

Helsinki is a unique mix of influences from the Nordics and the East. The city center is small enough to navigate by foot but offers a thriving underground cultural scene and more than 50 annual city festivals. Finland is a world leader in clean technology and Helsinki is very environmentally conscious with 90% of all bottles and cans recycled. The society prides itself on one of the best primary and secondary education systems in the world, equal opportunity and tolerance, creating a high standard of living and welcoming environment for innovation and tech start-ups.
Helsinki is one of the top ten city matches for 3.6% of Teleport users.","1,217,600",77.55,✔ Equal,✔ Sexual orientation and gender identity,0.71,0.24,127,116,59,82,EUR,$40346.97,https://teleport.org/cities/helsinki/
103,54,0.12,1,2,22,508.97,https://teleport.org/cities/ho-chi-minh-city/,$27.00,$1.20,$7.90,$2.20,https://teleport.org/cities/ho-chi-minh-city/,$880,$660,$440,https://teleport.org/cities/ho-chi-minh-city/,Ho-Chi-Minh-City,"Ho Chi Minh City, Vietnam, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","4,312,700",55.27,✔ Equal,✖ No protections,0.64,0.10,62,63,61,58,VND,$5634.90,https://teleport.org/cities/ho-chi-minh-city/
