,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Large_apartment,Medium_apartment,Small_apartment,Cities,Description,Poblacion,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,Growth_percentage,Unemployment_percentage,Url,Average_Annual_percent_sunshine,Airport_score,Coordenadas
59,25,0.13,1,7,0,No hay dato,50.0,1.0,9.3,5.2,510,390,270,Chisinau,"Chisinau, Moldova, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Chisinau is one of the top ten city matches for 2.1% of Teleport users.",650900,71.12, Equal,Ambiguous,0.61,0.2,33,22,16,6,MDL,4979.33,0.0,0.06,https://teleport.org/cities/chisinau/,0.0,0.19,"(47.0245117, 28.8322923)"
60,20,0.0,1,23,12,University of Canterbury,42.0,2.7,81.0,12.0,1400,1100,870,Christchurch,"Christchurch, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",383100,93.65, Equal, Sexual orientation and gender identity,0.72,0.15,41,29,11,14,NZD,35151.75,0.01,0.05,https://teleport.org/cities/christchurch/,238.3,0.17,"(-43.530955, 172.6366455)"
61,48,0.11,11,91,24,University of Cincinnati,31.0,2.1,100.0,12.0,1400,1100,840,Cincinnati,"Cincinnati, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Cincinnati is one of the top ten city matches for 0.2% of Teleport users.",1225000,66.79, Equal, No protections,0.39,0.07,189,189,79,79,USD,54596.65,0.01,0.05,https://teleport.org/cities/cincinnati/,82.0,0.27,"(39.1014537, -84.5124602)"
62,56,0.11,11,91,24,Case Western Reserve University,36.0,1.7,91.0,13.0,1200,970,770,Cleveland,"Cleveland, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",1781100,66.79, Equal, No protections,0.28,0.08,189,124,71,66,USD,54596.65,-0.04,0.05,https://teleport.org/cities/cleveland/,66.0,0.3,"(41.5051613, -81.6934446)"
63,18,0.19,0,1,40,Babeş-Bolyai University,36.0,0.79,16.0,6.2,630,490,360,Cluj-Napoca,"Cluj-Napoca, Romania, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and taxation.",349500,77.95, Equal, Sexual orientation and gender identity,0.93,0.2,53,61,23,13,RON,19711.63,-0.41,0.07,https://teleport.org/cities/cluj-napoca/,12.8,0.16,"(46.769379, 23.5899542)"
64,169,0.73,1,30,10,University of Cologne,34.0,1.3,110.0,13.0,1600,1200,820,Cologne,"Cologne, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.",1941600,87.0, Step-child adoption only, Legal, Civil unions,0.19,88,91,64,37,EUR,45888.42,0.03,0.04,https://teleport.org/cities/cologne/,138.0,0.73,"(50.938361, 6.959974)"
65,11,0.12,12,103,16,No hay dato,41.0,2.2,64.0,14.0,1500,1200,890,Colorado-Springs,"Colorado Springs, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.",551500,93.13, Equal, Sexual orientation and gender identity,0.89,0.08,90,77,37,22,USD,54596.65,0.08,0.05,https://teleport.org/cities/colorado-springs/,127.0,0.13,"(38.8339578, -104.8253485)"
66,34,0.11,11,91,24,Ohio State University,42.0,2.3,65.0,13.0,1400,1100,890,Columbus,"Columbus, Ohio, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.
Columbus is one of the top ten city matches for 0.9% of Teleport users.",1485400,66.79, Equal, No protections,0.51,0.07,135,97,81,82,USD,54596.65,0.05,0.05,https://teleport.org/cities/columbus/,72.0,0.22,"(39.9622601, -83.0007065)"
67,126,0.69,1,12,13,University of Copenhagen,38.0,1.8,76.0,19.0,2300,1700,1200,Copenhagen,"By Maria Rahamägi

Copenhagen is a city with a small-town vibe. The city is best explored by bike using one of the world's most developed bike-path system and its countless cafés, bars, and parks are never far away. The high standard of living, easy access to Internet, modern metro system and a thriving business environment attract talent from all over the world.
Copenhagen is one of the top ten city matches for 15.3% of Teleport users.",1446900,93.03, Equal, Sexual orientation and gender identity,0.86,0.25,105,153,55,113,DKK,44342.66,0.08,0.04,https://teleport.org/cities/copenhagen/,13.0,0.57,"(55.6867243, 12.5700724)"
68,30,0.27,1,4,9,University College Cork,52.0,2.6,95.0,13.0,1700,1400,1200,Cork,"Cork, Ireland, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.",190400,85.91, Equal,Sexual orientation only,0.85,0.23,19,26,9,11,EUR,49194.77,-0.02,0.08,https://teleport.org/cities/cork/,161.0,0.2,"(51.897077, -8.4654674)"
69,23,0.0,21,8,52,Federal University of Paraná (UFPR),36.0,1.3,55.0,5.9,560,450,350,Curitiba,"Curitiba, Brazil, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, environmental quality and leisure & culture.",2049100,60.0, Legal, Legal, Legal,0.42,153,130,87,107,BRL,16096.32,0.04,0.13,https://teleport.org/cities/curitiba/,228.0,0.18,"(-25.4295963, -49.2712724)"
70,190,0.14,11,123,24,University of Texas at Dallas,44.0,2.3,76.0,13.0,1800,1400,1100,Dallas,"Dallas, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Dallas is one of the top ten city matches for 6.0% of Teleport users.",6484300,64.44, Equal, No protections,0.41,0.08,265,302,141,183,USD,54596.65,0.11,0.05,https://teleport.org/cities/dallas/,136.0,0.81,"(32.7762719, -96.7968559)"
71,25,0.11,33,1,0,No hay dato,88.0,1.2,32.0,5.2,1400,920,480,Dar-es-Salaam,"Dar es Salaam, Tanzania, differentiates itself with low living costs. This urban area is consistently ahead in housing.",2730200,26.32, Equal, No protections,0.31,0.18,10,21,4,5,TZS,2666.71,0.34,0.0,https://teleport.org/cities/dar-es-salaam/,12.5,0.19,"(-6.8160837, 39.2803583)"
72,97,0.67,0,4,0,Indian Institute of Technology Delhi,36.0,1.7,20.0,6.1,460,360,260,Delhi,"Delhi, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Delhi is one of the top ten city matches for 2.5% of Teleport users.",15703900,24.29, Equal,Ambiguous,0.40,0.06,103,91,46,61,INR,5855.31,0.1,0.08,https://teleport.org/cities/delhi/,12.6,0.46,"(28.6517178, 77.2219388)"
73,169,0.12,12,103,16,No hay dato,43.0,2.2,110.0,15.0,2000,1700,1400,Denver,"Denver, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Denver is one of the top ten city matches for 4.1% of Teleport users.",2484200,93.13, Equal, Sexual orientation and gender identity,0.62,0.08,276,193,99,133,USD,54596.65,0.07,0.05,https://teleport.org/cities/denver/,115.0,0.73,"(39.7392364, -104.9848623)"
74,17,0.12,8,52,16,No hay dato,35.0,1.9,51.0,9.9,1300,1000,800,Des-Moines,"Des Moines, Iowa, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.",409200,93.13, Equal, Sexual orientation and gender identity,0.74,0.06,91,111,27,43,USD,54596.65,0.07,0.05,https://teleport.org/cities/des-moines/,105.0,0.16,"(41.5910323, -93.6046655)"
75,137,0.12,12,39,24,University of Michigan,35.0,2.7,49.0,11.0,1400,1200,880,Detroit,"Detroit, Michigan, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and leisure & culture.
Detroit is one of the top ten city matches for 0.5% of Teleport users.",4139400,63.24, Equal, No protections,0.10,0.06,308,261,156,190,USD,54596.65,-0.03,0.05,https://teleport.org/cities/detroit/,76.0,0.61,"(42.3315509, -83.0466403)"
76,116,0.0,0,19,49,Qatar University,140.0,3.8,49.0,11.0,2800,2300,1700,Doha,"Doha, Qatar, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.",678400,15.48, Equal, No protections,0.89,0.0,64,34,31,42,QAR,143426.98,-0.39,0.01,https://teleport.org/cities/doha/,12.6,0.53,"(25.2856329, 51.5264162)"
77,18,0.55,1,30,10,TU Dresden,43.0,0.8,73.0,9.8,1100,800,550,Dresden,"Dresden, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",630800,87.0, Step-child adoption only, Legal, Civil unions,0.19,62,80,61,17,EUR,45888.42,0.01,0.04,https://teleport.org/cities/dresden/,298.0,0.16,"(51.0493286, 13.7381437)"
78,215,0.0,1,22,41,American University of Sharjah,100.0,2.9,72.0,12.0,2500,2000,1500,Dubai,"Dubai, United Arab Emirates, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and safety.
Dubai is one of the top ten city matches for 6.9% of Teleport users.",1907300,23.96,No hay dato, No protections,0.87,0.0,119,89,48,45,AED,64478.67,0.12,0.02,https://teleport.org/cities/dubai/,337.0,0.9,"(25.2653471, 55.2924914)"
79,144,0.32,1,4,9,Trinity College Dublin,49.0,3.1,150.0,17.0,2600,2100,1600,Dublin,"Dublin is a city marked by its long history and rich background. The city center is compact, rich in urban greenery, and can be easily traversed on foot. Due to its great travel connections, tax incentives and relatively close time zone to the US, most of the largest American technology companies have their headquarters in Dublin. There are also over 1,200 startups in the city attracted by the acces to venture capital and high speed Internet.
Dublin is one of the top ten city matches for 4.9% of Teleport users.",1948500,85.91, Equal,Sexual orientation only,0.59,0.23,72,74,35,46,EUR,49194.77,0.04,0.08,https://teleport.org/cities/dublin/,174.0,0.63,"(53.3497645, -6.2602732)"
80,169,0.61,1,30,9,No hay dato,42.0,1.0,81.0,14.0,1600,1200,820,Dusseldorf,"Dusseldorf, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.",1098500,87.0, Step-child adoption only, Legal, Civil unions,0.19,82,81,50,36,EUR,45888.42,0.01,0.04,https://teleport.org/cities/dusseldorf/,0.0,0.73,"(51.2254018, 6.7763137)"
81,117,0.61,0,6,17,University of Edinburgh,45.0,2.9,81.0,15.0,1700,1400,1100,Edinburgh,"Edinburgh is truly steeped in history—even its New Town was built in the 18th century. It also boasts breathtaking views of a hilly scenery and proximity to nature. With a population of 465 thousand people, walkable distances and amazing public transport, you are more likely to stumble upon your friends than in any other capital. Despite its small size, Edinburgh is still the second largest financial center in the UK after London.
Edinburgh is one of the top ten city matches for 4.8% of Teleport users.",518200,76.0, Legal, Legal, Legal,0.2,103,75,30,16,GBP,39510.94,0.02,0.05,https://teleport.org/cities/edinburgh/,227.8,0.42,"(55.9533456, -3.1883749)"
82,38,0.15,2,31,5,University of Alberta,48.0,2.4,72.0,15.0,1200,1100,980,Edmonton,"Edmonton, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",853800,80.0, Legal, Legal, Legal,0.05,80,95,29,43,CAD,44843.44,0.1,0.07,https://teleport.org/cities/edmonton/,288.2,0.23,"(53.535411, -113.507996)"
83,79,0.57,1,4,10,Eindhoven University of Technology,28.0,1.1,88.0,17.0,1500,1200,980,Eindhoven,"Eindhoven, Netherlands, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Eindhoven is one of the top ten city matches for 2.7% of Teleport users.",632800,97.37, Equal, Sexual orientation and gender identity,0.87,0.21,98,124,53,42,EUR,47354.53,0.01,0.06,https://teleport.org/cities/eindhoven/,281.0,0.39,"(51.4392648, 5.478633)"
84,9,0.11,12,93,24,University of Oregon,41.0,2.8,53.0,11.0,1500,1100,750,Eugene,"Eugene, Oregon, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",224300,96.88, Equal, Sexual orientation and gender identity,0.80,0.0,70,49,10,9,USD,54596.65,0.02,0.05,https://teleport.org/cities/eugene/,75.0,0.13,"(44.0505054, -123.0950506)"
85,78,0.48,1,12,26,University of Florence,82.0,1.7,41.0,14.0,1300,1100,790,Florence,"Florence, Italy, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",485400,74.0, Illegal, Legal, Civil unions,0.22,85,79,65,43,EUR,35486.17,-0.02,0.11,https://teleport.org/cities/florence/,282.0,0.39,"(43.7698712, 11.2555757)"
86,12,0.0,21,8,52,Federal University of Santa Catarina,38.0,1.3,57.0,6.8,680,540,400,Florianopolis,"Florianopolis, Brazil, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and tolerance.",617700,60.0, Legal, Legal, Legal,0.42,122,135,41,57,BRL,16096.32,0.08,0.13,https://teleport.org/cities/florianopolis/,225.0,0.14,"(-27.5973002, -48.5496098)"
87,2,0.12,12,103,24,Colorado State University,25.0,2.3,11.0,44.0,1800,1400,1100,Fort-Collins,"Fort Collins, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.",163600,93.13, Equal, Sexual orientation and gender identity,0.94,0.07,65,77,11,9,USD,54596.65,0.07,0.05,https://teleport.org/cities/fort-collins/,330.0,0.1,"(40.5508527, -105.0668085)"
88,239,0.71,1,30,10,Goethe University Frankfurt,51.0,1.1,98.0,16.0,1700,1300,960,Frankfurt,"Frankfurt, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.
Frankfurt is one of the top ten city matches for 4.4% of Teleport users.",4508200,87.0, Step-child adoption only, Legal, Civil unions,0.19,170,238,149,122,EUR,45888.42,0.01,0.04,https://teleport.org/cities/frankfurt/,302.0,0.99,"(50.1106444, 8.6820917)"
89,38,1.0,0,1,3,Kyushu University,82.0,2.3,15.0,68.0,980,780,580,Fukuoka,"Fukuoka, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.",2786500,54.0,Ambiguous, Legal, Unrecognized,0.08,134,93,143,113,JPY,37389.79,-0.01,0.03,https://teleport.org/cities/fukuoka/,90.0,0.23,"(33.6251241, 130.6180016)"
90,47,0.3,0,1,14,Gdańsk University of Technology,46.0,0.93,26.0,7.7,860,680,510,Gdansk,"Gdansk, Poland, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and environmental quality.",537500,42.0, Illegal, Legal, Unrecognized,0.23,77,49,40,9,PLN,25105.4,0.0,0.1,https://teleport.org/cities/gdansk/,181.0,0.27,"(54.36119285, 18.62860883362069)"
91,101,0.7,3,24,11,University of Geneva,120.0,2.6,83.0,28.0,3500,2800,2100,Geneva,"Geneva, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Geneva is one of the top ten city matches for 2.8% of Teleport users.",626900,81.79, Equal, Sexual orientation and gender identity,0.89,0.08,76,85,62,65,CHF,58087.21,0.07,0.03,https://teleport.org/cities/geneva/,44.0,0.47,"(46.2017559, 6.1466014)"
92,16,0.0,2,17,0,No hay dato,30.0,1.3,8.8,75.0,2900,2200,1400,Gibraltar,"Gibraltar, Gibraltar, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.",26500,89.0,No hay dato,No hay dato,No hay dato,0.0,2,0,0,0,GIP,0.0,0.01,0.0,https://teleport.org/cities/gibraltar/,12.6,0.15,"(36.140807, -5.3541295)"
93,117,0.71,0,6,17,University of Glasgow,44.0,2.0,64.0,16.0,1400,1100,750,Glasgow,"By Jaanika Jensen

Glasgow is an outgoing, friendly and international city with a historic flavor. It offers a high quality of life and a wide range of cultural activities including concerts, fairs, sports events and festivals, making it a highly sociable environment. The unpredictable weather might be a challenge for some, but as the business and cultural center of Scotland, it's an exciting choice.
Glasgow is one of the top ten city matches for 0.6% of Teleport users.",848100,76.0, Legal, Legal, Legal,0.2,73,44,29,23,GBP,39510.94,0.0,0.05,https://teleport.org/cities/glasgow/,198.0,0.53,"(55.8609825, -4.2488787)"
94,48,0.46,1,21,19,University of Gothenburg,46.0,1.8,74.0,12.0,1400,1200,960,Gothenburg,"Gothenburg, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",842800,93.59, Equal, Sexual orientation and gender identity,0.31,0.25,60,61,37,49,SEK,45986.38,0.05,0.07,https://teleport.org/cities/gothenburg/,13.2,0.27,"(57.7072326, 11.9670171)"
95,0,0.0,3,31,19,Joseph Fourier University,49.0,1.8,65.0,17.0,1200,950,700,Grenoble,"Grenoble, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare.",301800,77.0, Legal, Legal, Legal,0.2,20,16,16,16,EUR,40374.53,-0.01,0.1,https://teleport.org/cities/grenoble/,12.8,0.7,"(45.1875602, 5.7357819)"
96,41,0.1,11,15,41,No hay dato,34.0,0.92,20.0,6.1,570,460,340,Guadalajara,"Guadalajara, Mexico, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.",3622600,61.0, Legal, Legal, Legal,0.16,177,203,74,160,MXN,17880.51,-0.01,0.04,https://teleport.org/cities/guadalajara/,277.1,0.25,"(20.6720375, -103.338396)"
97,19,0.0,34,13,0,No hay dato,67.0,1.6,15.0,5.1,720,620,520,Guatemala-City,"Guatemala City, Guatemala, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, taxation and tolerance.
Guatemala City is one of the top ten city matches for 0.2% of Teleport users.",2782300,80.03, Equal,Sexual orientation only,0.62,0.12,82,81,54,43,GTQ,7503.47,0.05,0.03,https://teleport.org/cities/guatemala-city/,222.0,0.16,"(14.6222328, -90.5185188)"
98,28,0.12,2,31,5,Dalhousie University,45.0,2.5,60.0,14.0,1300,1100,870,Halifax,"Halifax, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",501800,80.0, Legal, Legal, Legal,0.05,34,53,19,16,CAD,44843.44,0.03,0.07,https://teleport.org/cities/halifax/,200.0,0.2,"(44.648618, -63.5859487)"
99,90,0.71,1,30,9,No hay dato,46.0,1.2,100.0,14.0,1600,1300,860,Hamburg,"Hamburg, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Hamburg is one of the top ten city matches for 1.1% of Teleport users.",5978500,87.0, Step-child adoption only, Legal, Civil unions,0.19,96,117,102,93,EUR,45888.42,0.01,0.04,https://teleport.org/cities/hamburg/,13.0,0.43,"(53.550341, 10.000654)"
100,50,0.85,1,30,10,Leibniz University of Hanover,42.0,1.1,73.0,10.0,1100,850,650,Hannover,"Hannover, Germany, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.",647500,87.0, Step-child adoption only, Legal, Civil unions,0.19,65,63,25,15,EUR,45888.42,0.0,0.04,https://teleport.org/cities/hannover/,296.0,0.28,"(52.3744779, 9.7385532)"
101,31,0.18,1,5,0,No hay dato,40.0,1.4,17.0,7.9,800,630,450,Havana,"Havana, Cuba, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.",3939300,78.65, Equal, Sexual orientation and gender identity,0.95,0.0,13,0,0,0,CUC,11950.0,-0.02,0.03,https://teleport.org/cities/havana/,265.0,0.21,"(23.135305, -82.3589631)"
102,88,0.53,3,27,6,Aalto University,59.0,2.6,71.0,14.0,1900,1500,1100,Helsinki,"By Minja Orava

Helsinki is a unique mix of influences from the Nordics and the East. The city center is small enough to navigate by foot but offers a thriving underground cultural scene and more than 50 annual city festivals. Finland is a world leader in clean technology and Helsinki is very environmentally conscious with 90% of all bottles and cans recycled. The society prides itself on one of the best primary and secondary education systems in the world, equal opportunity and tolerance, creating a high standard of living and welcoming environment for innovation and tech start-ups.
Helsinki is one of the top ten city matches for 3.6% of Teleport users.",1217600,77.55, Equal, Sexual orientation and gender identity,0.71,0.24,127,116,59,82,EUR,40346.97,0.06,0.09,https://teleport.org/cities/helsinki/,13.3,0.42,"(60.1674881, 24.9427473)"
103,54,0.12,1,2,22,No hay dato,27.0,1.2,7.9,2.2,880,660,440,Ho-Chi-Minh-City,"Ho Chi Minh City, Vietnam, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.",4312700,55.27, Equal, No protections,0.64,0.1,62,63,61,58,VND,5634.9,0.18,0.04,https://teleport.org/cities/ho-chi-minh-city/,12.5,0.29,"(10.7715512, 106.6983801)"
104,171,0.0,0,6,2,University of Hong Kong,82.0,1.5,60.0,8.7,3700,2900,2000,Hong-Kong,"Hong Kong is a world financial center with low taxation rates and free trade. The city is connected by a well-developed but cheap public transportation system and offers extensive international travel connections for its large expat community. Adding its b>ease of doing business, the free public wifi, high safety rating, and unique status within China and it's no surprise that Hong Kong is a truly international city.
Hong Kong is one of the top ten city matches for 10.2% of Teleport users.",46645500,55.84, Equal, No protections,0.87,0.0,132,121,149,106,HKD,54722.12,0.11,0.04,https://teleport.org/cities/hong-kong/,12.5,0.74,"(22.2793278, 114.1628131)"
105,51,0.11,3,39,24,University of Hawai’i at Mānoa,58.0,3.4,64.0,14.0,2600,2100,1600,Honolulu,"Honolulu, Hawaii, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and leisure & culture.",968800,96.55, Equal, Sexual orientation and gender identity,0.56,0.04,144,125,73,25,USD,54596.65,0.02,0.05,https://teleport.org/cities/honolulu/,90.0,0.28,"(21.304547, -157.855676)"
106,176,0.11,11,123,24,Rice University,37.0,2.1,49.0,13.0,1700,1400,1200,Houston,"Houston, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and leisure & culture.
Houston is one of the top ten city matches for 0.5% of Teleport users.",4356000,64.44, Equal, No protections,0.42,0.08,219,221,141,173,USD,54596.65,0.11,0.05,https://teleport.org/cities/houston/,91.0,0.75,"(29.7589382, -95.3676974)"
107,32,0.56,0,4,0,No hay dato,25.0,1.4,13.0,3.8,310,250,190,Hyderabad,"Hyderabad, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety.",5178600,24.29, Equal,Ambiguous,0.61,0.06,37,49,18,56,INR,5855.31,0.09,0.08,https://teleport.org/cities/hyderabad/,12.5,0.21,"(17.360589, 78.4740613)"
108,35,0.11,13,115,16,No hay dato,35.0,2.2,64.0,12.0,1300,1100,860,Indianapolis,"Indianapolis, Indiana, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, leisure & culture and tolerance.",1515800,72.81, Equal, No protections,0.64,0.07,228,196,96,133,USD,54596.65,0.06,0.05,https://teleport.org/cities/indianapolis/,88.0,0.22,"(39.7683331, -86.1583502)"
109,6,1.0,3,30,20,University of Innsbruck,55.0,1.4,56.0,12.0,1400,1100,810,Innsbruck,"Innsbruck, Austria, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.",318000,88.24, Equal, Sexual orientation and gender identity,0.79,0.2,20,23,17,8,EUR,46420.13,0.02,0.06,https://teleport.org/cities/innsbruck/,281.0,0.11,"(47.2654296, 11.3927685)"
110,242,0.17,2,13,43,Koç University,39.0,1.8,50.0,6.3,670,550,430,Istanbul,"Istanbul, Turkey, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and startups.
Istanbul is one of the top ten city matches for 6.0% of Teleport users.",21735000,9.0,Ambiguous, Legal, Unrecognized,0.18,237,216,165,258,TRY,19610.44,0.08,0.1,https://teleport.org/cities/istanbul/,12.7,1.0,"(41.0096334, 28.9651646)"
111,27,0.12,12,98,16,No hay dato,34.0,2.0,51.0,14.0,1300,1200,950,Jacksonville,"Jacksonville, Florida, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.",1082500,67.19, Equal, No protections,0.46,0.07,146,173,65,85,USD,54596.65,0.06,0.05,https://teleport.org/cities/jacksonville/,95.0,0.19,"(30.3321838, -81.655651)"
112,64,0.17,1,1,51,University of Indonesia,43.0,2.5,18.0,3.9,880,630,390,Jakarta,"Jakarta, Indonesia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Jakarta is one of the top ten city matches for 0.4% of Teleport users.",16341100,3.0,Married couples only,Varies by Region, Unrecognized,0.1,354,357,221,296,IDR,10640.9,0.09,0.06,https://teleport.org/cities/jakarta/,246.0,0.33,"(-6.1753942, 106.827183)"
113,81,0.24,33,13,0,University of the Witwatersrand,39.0,1.3,60.0,8.5,1100,850,650,Johannesburg,"Johannesburg, South Africa, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.",7084800,32.0, Legal, Legal, Legal,0.14,130,183,58,90,ZAR,13046.07,0.1,0.27,https://teleport.org/cities/johannesburg/,12.5,0.4,"(-26.205, 28.049722)"
114,43,0.12,15,76,16,No hay dato,45.0,2.2,51.0,12.0,1300,1100,790,Kansas-City,"Kansas City, Missouri, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Kansas City is one of the top ten city matches for 2.0% of Teleport users.",1873100,72.14, Equal, No protections,0.27,0.08,188,184,88,131,USD,54596.65,0.04,0.05,https://teleport.org/cities/kansas-city/,121.0,0.25,"(39.100105, -94.5781416)"
115,80,0.55,1,30,10,Karlsruhe Institute of Technology,43.0,1.5,64.0,13.0,1100,870,660,Karlsruhe,"Karlsruhe, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",367900,87.0, Step-child adoption only, Legal, Civil unions,0.19,52,39,20,7,EUR,45888.42,0.03,0.04,https://teleport.org/cities/karlsruhe/,285.0,0.41,"(49.0068705, 8.4034195)"
116,31,0.0,1,1,0,No hay dato,24.0,2.2,13.0,4.0,280,250,220,Kathmandu,"Kathmandu, Nepal, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.",1625600,87.91, Equal, Sexual orientation and gender identity,0.93,0.13,34,16,13,15,NPR,2375.58,0.62,0.46,https://teleport.org/cities/kathmandu/,12.6,0.21,"(27.708317, 85.3205817)"
117,77,0.72,0,7,0,Taras Shevchenko National University of Kyiv,22.0,0.54,10.0,4.3,620,500,380,Kiev,"By Andrii Gorbenko

With a history going back more than 1500 years, Kiev today is an economic and industrial center of Eastern Europe. Known for its river-front location and historical landmarks, Kiev continues to develop, and boasts several international companies serving Ukraine's large domestic market. Its expansive infrastructure offers some of the cheapest metro services in Europe, there are great leisure-time opportunities and the overall cost of living is very reasonable.
Kiev is one of the top ten city matches for 4.4% of Teleport users.",3627600,71.98, Equal, Sexual orientation and gender identity,0.64,0.2,64,61,88,51,UAH,8668.33,0.01,0.1,https://teleport.org/cities/kiev/,0.0,0.38,"(50.4500336, 30.5241361)"
118,19,0.0,31,8,0,No hay dato,49.0,1.8,57.0,5.2,660,530,410,Kingston,"Kingston, Jamaica, is characterized by reasonably priced housing. When considering your preferences, this city does not have any category with a high rating.",1671800,34.67, Unequal, No protections,0.24,0.13,23,93,12,12,JMD,8609.28,0.01,0.14,https://teleport.org/cities/kingston/,12.5,0.16,"(17.9712148, -76.7928128)"
