,Climate,Growth_percentage,GDP_per_capita,Unemployment_percentage,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Airport_score,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Large_apartment,Medium_apartment,Small_apartment,Description,Poblacion,Cities
71,12.5,0.34,2.667,0.0,26.32, Equal, No protections,0.31,0.18,10,21,4,5,TZS,88.0,1.2,32.0,5.2,0.19,25,0.11,33,1,0,No hay dato,1400,920,480,"Dar es Salaam, Tanzania, differentiates itself with low living costs. This urban area is consistently ahead in housing.",2730200,Dar-es-Salaam
72,12.6,0.1,5.855,0.08,24.29, Equal,Ambiguous,0.40,0.06,103,91,46,61,INR,36.0,1.7,20.0,6.1,0.46,97,0.67,0,4,0,Indian Institute of Technology Delhi,460,360,260,"Delhi, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Delhi is one of the top ten city matches for 2.5% of Teleport users.",15703900,Delhi
73,115.0,0.07,54.597,0.05,93.13, Equal, Sexual orientation and gender identity,0.62,0.08,276,193,99,133,USD,43.0,2.2,110.0,15.0,0.73,169,0.12,12,103,16,No hay dato,2000,1700,1400,"Denver, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Denver is one of the top ten city matches for 4.1% of Teleport users.",2484200,Denver
74,105.0,0.07,54.597,0.05,93.13, Equal, Sexual orientation and gender identity,0.74,0.06,91,111,27,43,USD,35.0,1.9,51.0,9.9,0.16,17,0.12,8,52,16,No hay dato,1300,1000,800,"Des Moines, Iowa, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.",409200,Des-Moines
75,76.0,-0.03,54.597,0.05,63.24, Equal, No protections,0.10,0.06,308,261,156,190,USD,35.0,2.7,49.0,11.0,0.61,137,0.12,12,39,24,University of Michigan,1400,1200,880,"Detroit, Michigan, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and leisure & culture.
Detroit is one of the top ten city matches for 0.5% of Teleport users.",4139400,Detroit
76,12.6,-0.39,143.427,0.01,15.48, Equal, No protections,0.89,0.0,64,34,31,42,QAR,140.0,3.8,49.0,11.0,0.53,116,0.0,0,19,49,Qatar University,2800,2300,1700,"Doha, Qatar, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.",678400,Doha
77,298.0,0.01,45.888,0.04,87.0, Step-child adoption only, Legal, Civil unions,0.19,62,80,61,17,EUR,43.0,0.8,73.0,9.8,0.16,18,0.55,1,30,10,TU Dresden,1100,800,550,"Dresden, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",630800,Dresden
78,337.0,0.12,64.479,0.02,23.96,No hay dato, No protections,0.87,0.0,119,89,48,45,AED,100.0,2.9,72.0,12.0,0.9,215,0.0,1,22,41,American University of Sharjah,2500,2000,1500,"Dubai, United Arab Emirates, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and safety.
Dubai is one of the top ten city matches for 6.9% of Teleport users.",1907300,Dubai
79,174.0,0.04,49.195,0.08,85.91, Equal,Sexual orientation only,0.59,0.23,72,74,35,46,EUR,49.0,3.1,150.0,17.0,0.63,144,0.32,1,4,9,Trinity College Dublin,2600,2100,1600,"Dublin is a city marked by its long history and rich background. The city center is compact, rich in urban greenery, and can be easily traversed on foot. Due to its great travel connections, tax incentives and relatively close time zone to the US, most of the largest American technology companies have their headquarters in Dublin. There are also over 1,200 startups in the city attracted by the acces to venture capital and high speed Internet.
Dublin is one of the top ten city matches for 4.9% of Teleport users.",1948500,Dublin
80,0.0,0.01,45.888,0.04,87.0, Step-child adoption only, Legal, Civil unions,0.19,82,81,50,36,EUR,42.0,1.0,81.0,14.0,0.73,169,0.61,1,30,9,No hay dato,1600,1200,820,"Dusseldorf, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.",1098500,Dusseldorf
81,227.8,0.02,39.511,0.05,76.0, Legal, Legal, Legal,0.2,103,75,30,16,GBP,45.0,2.9,81.0,15.0,0.42,117,0.61,0,6,17,University of Edinburgh,1700,1400,1100,"Edinburgh is truly steeped in history—even its New Town was built in the 18th century. It also boasts breathtaking views of a hilly scenery and proximity to nature. With a population of 465 thousand people, walkable distances and amazing public transport, you are more likely to stumble upon your friends than in any other capital. Despite its small size, Edinburgh is still the second largest financial center in the UK after London.
Edinburgh is one of the top ten city matches for 4.8% of Teleport users.",518200,Edinburgh
82,288.2,0.1,44.843,0.07,80.0, Legal, Legal, Legal,0.05,80,95,29,43,CAD,48.0,2.4,72.0,15.0,0.23,38,0.15,2,31,5,University of Alberta,1200,1100,980,"Edmonton, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",853800,Edmonton
83,281.0,0.01,47.355,0.06,97.37, Equal, Sexual orientation and gender identity,0.87,0.21,98,124,53,42,EUR,28.0,1.1,88.0,17.0,0.39,79,0.57,1,4,10,Eindhoven University of Technology,1500,1200,980,"Eindhoven, Netherlands, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Eindhoven is one of the top ten city matches for 2.7% of Teleport users.",632800,Eindhoven
84,75.0,0.02,54.597,0.05,96.88, Equal, Sexual orientation and gender identity,0.80,0.0,70,49,10,9,USD,41.0,2.8,53.0,11.0,0.13,9,0.11,12,93,24,University of Oregon,1500,1100,750,"Eugene, Oregon, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",224300,Eugene
85,282.0,-0.02,35.486,0.11,74.0, Illegal, Legal, Civil unions,0.22,85,79,65,43,EUR,82.0,1.7,41.0,14.0,0.39,78,0.48,1,12,26,University of Florence,1300,1100,790,"Florence, Italy, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",485400,Florence
86,225.0,0.08,16.096,0.13,60.0, Legal, Legal, Legal,0.42,122,135,41,57,BRL,38.0,1.3,57.0,6.8,0.14,12,0.0,21,8,52,Federal University of Santa Catarina,680,540,400,"Florianopolis, Brazil, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and tolerance.",617700,Florianopolis
87,330.0,0.07,54.597,0.05,93.13, Equal, Sexual orientation and gender identity,0.94,0.07,65,77,11,9,USD,25.0,2.3,11.0,44.0,0.1,2,0.12,12,103,24,Colorado State University,1800,1400,1100,"Fort Collins, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.",163600,Fort-Collins
88,302.0,0.01,45.888,0.04,87.0, Step-child adoption only, Legal, Civil unions,0.19,170,238,149,122,EUR,51.0,1.1,98.0,16.0,0.99,239,0.71,1,30,10,Goethe University Frankfurt,1700,1300,960,"Frankfurt, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.
Frankfurt is one of the top ten city matches for 4.4% of Teleport users.",4508200,Frankfurt
89,90.0,-0.01,37.39,0.03,54.0,Ambiguous, Legal, Unrecognized,0.08,134,93,143,113,JPY,82.0,2.3,15.0,68.0,0.23,38,1.0,0,1,3,Kyushu University,980,780,580,"Fukuoka, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.",2786500,Fukuoka
90,181.0,0.0,25.105,0.1,42.0, Illegal, Legal, Unrecognized,0.23,77,49,40,9,PLN,46.0,0.93,26.0,7.7,0.27,47,0.3,0,1,14,Gdańsk University of Technology,860,680,510,"Gdansk, Poland, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and environmental quality.",537500,Gdansk
91,44.0,0.07,58.087,0.03,81.79, Equal, Sexual orientation and gender identity,0.89,0.08,76,85,62,65,CHF,120.0,2.6,83.0,28.0,0.47,101,0.7,3,24,11,University of Geneva,3500,2800,2100,"Geneva, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Geneva is one of the top ten city matches for 2.8% of Teleport users.",626900,Geneva
92,12.6,0.01,3.0,0.0,89.0,No hay dato,No hay dato,No hay dato,0.0,2,0,0,0,GIP,30.0,1.3,8.8,75.0,0.15,16,0.0,2,17,0,No hay dato,2900,2200,1400,"Gibraltar, Gibraltar, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.",26500,Gibraltar
93,198.0,0.0,39.511,0.05,76.0, Legal, Legal, Legal,0.2,73,44,29,23,GBP,44.0,2.0,64.0,16.0,0.53,117,0.71,0,6,17,University of Glasgow,1400,1100,750,"By Jaanika Jensen

Glasgow is an outgoing, friendly and international city with a historic flavor. It offers a high quality of life and a wide range of cultural activities including concerts, fairs, sports events and festivals, making it a highly sociable environment. The unpredictable weather might be a challenge for some, but as the business and cultural center of Scotland, it's an exciting choice.
Glasgow is one of the top ten city matches for 0.6% of Teleport users.",848100,Glasgow
94,13.2,0.05,45.986,0.07,93.59, Equal, Sexual orientation and gender identity,0.31,0.25,60,61,37,49,SEK,46.0,1.8,74.0,12.0,0.27,48,0.46,1,21,19,University of Gothenburg,1400,1200,960,"Gothenburg, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",842800,Gothenburg
95,12.8,-0.01,40.375,0.1,77.0, Legal, Legal, Legal,0.2,20,16,16,16,EUR,49.0,1.8,65.0,17.0,0.7,0,0.0,3,31,19,Joseph Fourier University,1200,950,700,"Grenoble, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare.",301800,Grenoble
96,277.1,-0.01,17.881,0.04,61.0, Legal, Legal, Legal,0.16,177,203,74,160,MXN,34.0,0.92,20.0,6.1,0.25,41,0.1,11,15,41,No hay dato,570,460,340,"Guadalajara, Mexico, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.",3622600,Guadalajara
97,222.0,0.05,7.503,0.03,80.03, Equal,Sexual orientation only,0.62,0.12,82,81,54,43,GTQ,67.0,1.6,15.0,5.1,0.16,19,0.0,34,13,0,No hay dato,720,620,520,"Guatemala City, Guatemala, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, taxation and tolerance.
Guatemala City is one of the top ten city matches for 0.2% of Teleport users.",2782300,Guatemala-City
98,200.0,0.03,44.843,0.07,80.0, Legal, Legal, Legal,0.05,34,53,19,16,CAD,45.0,2.5,60.0,14.0,0.2,28,0.12,2,31,5,Dalhousie University,1300,1100,870,"Halifax, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",501800,Halifax
99,13.0,0.01,45.888,0.04,87.0, Step-child adoption only, Legal, Civil unions,0.19,96,117,102,93,EUR,46.0,1.2,100.0,14.0,0.43,90,0.71,1,30,9,No hay dato,1600,1300,860,"Hamburg, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Hamburg is one of the top ten city matches for 1.1% of Teleport users.",5978500,Hamburg
100,296.0,0.0,45.888,0.04,87.0, Step-child adoption only, Legal, Civil unions,0.19,65,63,25,15,EUR,42.0,1.1,73.0,10.0,0.28,50,0.85,1,30,10,Leibniz University of Hanover,1100,850,650,"Hannover, Germany, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.",647500,Hannover
101,265.0,-0.02,11.95,0.03,78.65, Equal, Sexual orientation and gender identity,0.95,0.0,13,0,0,0,CUC,40.0,1.4,17.0,7.9,0.21,31,0.18,1,5,0,No hay dato,800,630,450,"Havana, Cuba, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.",3939300,Havana
102,13.3,0.06,40.347,0.09,77.55, Equal, Sexual orientation and gender identity,0.71,0.24,127,116,59,82,EUR,59.0,2.6,71.0,14.0,0.42,88,0.53,3,27,6,Aalto University,1900,1500,1100,"By Minja Orava

Helsinki is a unique mix of influences from the Nordics and the East. The city center is small enough to navigate by foot but offers a thriving underground cultural scene and more than 50 annual city festivals. Finland is a world leader in clean technology and Helsinki is very environmentally conscious with 90% of all bottles and cans recycled. The society prides itself on one of the best primary and secondary education systems in the world, equal opportunity and tolerance, creating a high standard of living and welcoming environment for innovation and tech start-ups.
Helsinki is one of the top ten city matches for 3.6% of Teleport users.",1217600,Helsinki
103,12.5,0.18,5.635,0.04,55.27, Equal, No protections,0.64,0.1,62,63,61,58,VND,27.0,1.2,7.9,2.2,0.29,54,0.12,1,2,22,No hay dato,880,660,440,"Ho Chi Minh City, Vietnam, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.",4312700,Ho-Chi-Minh-City
104,12.5,0.11,54.722,0.04,55.84, Equal, No protections,0.87,0.0,132,121,149,106,HKD,82.0,1.5,60.0,8.7,0.74,171,0.0,0,6,2,University of Hong Kong,3700,2900,2000,"Hong Kong is a world financial center with low taxation rates and free trade. The city is connected by a well-developed but cheap public transportation system and offers extensive international travel connections for its large expat community. Adding its b>ease of doing business, the free public wifi, high safety rating, and unique status within China and it's no surprise that Hong Kong is a truly international city.
Hong Kong is one of the top ten city matches for 10.2% of Teleport users.",46645500,Hong-Kong
105,90.0,0.02,54.597,0.05,96.55, Equal, Sexual orientation and gender identity,0.56,0.04,144,125,73,25,USD,58.0,3.4,64.0,14.0,0.28,51,0.11,3,39,24,University of Hawai’i at Mānoa,2600,2100,1600,"Honolulu, Hawaii, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and leisure & culture.",968800,Honolulu
106,91.0,0.11,54.597,0.05,64.44, Equal, No protections,0.42,0.08,219,221,141,173,USD,37.0,2.1,49.0,13.0,0.75,176,0.11,11,123,24,Rice University,1700,1400,1200,"Houston, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and leisure & culture.
Houston is one of the top ten city matches for 0.5% of Teleport users.",4356000,Houston
107,12.5,0.09,5.855,0.08,24.29, Equal,Ambiguous,0.61,0.06,37,49,18,56,INR,25.0,1.4,13.0,3.8,0.21,32,0.56,0,4,0,No hay dato,310,250,190,"Hyderabad, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety.",5178600,Hyderabad
108,88.0,0.06,54.597,0.05,72.81, Equal, No protections,0.64,0.07,228,196,96,133,USD,35.0,2.2,64.0,12.0,0.22,35,0.11,13,115,16,No hay dato,1300,1100,860,"Indianapolis, Indiana, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, leisure & culture and tolerance.",1515800,Indianapolis
109,281.0,0.02,46.42,0.06,88.24, Equal, Sexual orientation and gender identity,0.79,0.2,20,23,17,8,EUR,55.0,1.4,56.0,12.0,0.11,6,1.0,3,30,20,University of Innsbruck,1400,1100,810,"Innsbruck, Austria, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.",318000,Innsbruck
110,12.7,0.08,19.61,0.1,9.0,Ambiguous, Legal, Unrecognized,0.18,237,216,165,258,TRY,39.0,1.8,50.0,6.3,1.0,242,0.17,2,13,43,Koç University,670,550,430,"Istanbul, Turkey, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and startups.
Istanbul is one of the top ten city matches for 6.0% of Teleport users.",21735000,Istanbul
111,95.0,0.06,54.597,0.05,67.19, Equal, No protections,0.46,0.07,146,173,65,85,USD,34.0,2.0,51.0,14.0,0.19,27,0.12,12,98,16,No hay dato,1300,1200,950,"Jacksonville, Florida, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.",1082500,Jacksonville
112,246.0,0.09,10.641,0.06,3.0,Married couples only,Varies by Region, Unrecognized,0.1,354,357,221,296,IDR,43.0,2.5,18.0,3.9,0.33,64,0.17,1,1,51,University of Indonesia,880,630,390,"Jakarta, Indonesia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Jakarta is one of the top ten city matches for 0.4% of Teleport users.",16341100,Jakarta
113,12.5,0.1,13.046,0.27,32.0, Legal, Legal, Legal,0.14,130,183,58,90,ZAR,39.0,1.3,60.0,8.5,0.4,81,0.24,33,13,0,University of the Witwatersrand,1100,850,650,"Johannesburg, South Africa, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.",7084800,Johannesburg
114,121.0,0.04,54.597,0.05,72.14, Equal, No protections,0.27,0.08,188,184,88,131,USD,45.0,2.2,51.0,12.0,0.25,43,0.12,15,76,16,No hay dato,1300,1100,790,"Kansas City, Missouri, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Kansas City is one of the top ten city matches for 2.0% of Teleport users.",1873100,Kansas-City
115,285.0,0.03,45.888,0.04,87.0, Step-child adoption only, Legal, Civil unions,0.19,52,39,20,7,EUR,43.0,1.5,64.0,13.0,0.41,80,0.55,1,30,10,Karlsruhe Institute of Technology,1100,870,660,"Karlsruhe, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",367900,Karlsruhe
116,12.6,0.62,2.376,0.46,87.91, Equal, Sexual orientation and gender identity,0.93,0.13,34,16,13,15,NPR,24.0,2.2,13.0,4.0,0.21,31,0.0,1,1,0,No hay dato,280,250,220,"Kathmandu, Nepal, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.",1625600,Kathmandu
117,0.0,0.01,8.668,0.1,71.98, Equal, Sexual orientation and gender identity,0.64,0.2,64,61,88,51,UAH,22.0,0.54,10.0,4.3,0.38,77,0.72,0,7,0,Taras Shevchenko National University of Kyiv,620,500,380,"By Andrii Gorbenko

With a history going back more than 1500 years, Kiev today is an economic and industrial center of Eastern Europe. Known for its river-front location and historical landmarks, Kiev continues to develop, and boasts several international companies serving Ukraine's large domestic market. Its expansive infrastructure offers some of the cheapest metro services in Europe, there are great leisure-time opportunities and the overall cost of living is very reasonable.
Kiev is one of the top ten city matches for 4.4% of Teleport users.",3627600,Kiev
118,12.5,0.01,8.609,0.14,34.67, Unequal, No protections,0.24,0.13,23,93,12,12,JMD,49.0,1.8,57.0,5.2,0.16,19,0.0,31,8,0,No hay dato,660,530,410,"Kingston, Jamaica, is characterized by reasonably priced housing. When considering your preferences, this city does not have any category with a high rating.",1671800,Kingston
119,97.0,0.05,54.597,0.05,70.0, Equal, No protections,0.37,0.09,94,95,27,43,USD,36.0,3.1,48.0,13.0,0.16,17,0.12,16,96,24,"University of Tennessee, Knoxville",1200,1000,890,"Knoxville, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and internet access.",220500,Knoxville
120,217.0,-0.01,25.105,0.1,42.0, Illegal, Legal, Unrecognized,0.23,83,59,48,12,PLN,35.0,1.0,28.0,6.1,0.29,52,0.3,0,1,14,AGH University of Science and Technology,860,700,540,"Krakow, Poland, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and leisure & culture.
Krakow is one of the top ten city matches for 0.6% of Teleport users.",822600,Krakow
121,12.5,0.1,24.654,0.03,9.0,Married couples only, Illegal (imprisonment as punishment), Unrecognized,0.06,311,357,159,253,MYR,43.0,3.0,35.0,3.6,0.52,115,0.19,1,2,38,Universiti Putra Malaysia,720,610,490,"Kuala Lumpur, Malaysia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and leisure & culture.
Kuala Lumpur is one of the top ten city matches for 0.5% of Teleport users.",6265700,Kuala-Lumpur
122,0.0,-0.02,37.39,0.03,54.0,Ambiguous, Legal, Unrecognized,0.08,166,90,93,32,JPY,100.0,3.0,16.0,83.0,0.36,71,1.0,0,1,3,Kyoto University,1100,900,660,"Kyoto, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, business freedom and healthcare.",2234100,Kyoto
123,312.0,0.13,6.031,0.24,1.0, Illegal,"Male illegal, female uncertain", Not legal,0.05,47,65,6,17,NGN,43.0,0.97,39.0,6.0,0.25,42,0.1,33,2,0,No hay dato,820,720,630,"Lagos, Nigeria, differentiates itself with low living costs. This urban area is consistently ahead in housing.",9934700,Lagos
124,12.5,0.07,6.221,0.08,43.0, Single only, Legal, Unrecognized,0.13,32,33,32,38,BOB,27.0,1.5,5.8,55.0,0.15,16,0.11,1,3,0,No hay dato,550,430,300,"La Paz, Bolivia, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.",812800,La-Paz
125,65.0,0.03,33.711,0.2,88.0, Legal, Legal, Legal,0.21,22,30,14,11,EUR,43.0,1.2,48.0,13.0,0.39,80,0.47,1,10,17,No hay dato,910,740,560,"Las Palmas de Gran Canaria, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.",381800,Las-Palmas-de-Gran-Canaria
126,211.0,0.17,54.597,0.05,93.13, Equal, Sexual orientation and gender identity,0.50,0.08,229,166,71,41,USD,28.0,1.9,61.0,13.0,0.59,133,0.11,14,168,16,No hay dato,1200,1000,880,"Las Vegas, Nevada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, startups and healthcare.
Las Vegas is one of the top ten city matches for 0.3% of Teleport users.",1953000,Las-Vegas
127,0.0,0.06,58.087,0.03,81.79, Equal, Sexual orientation and gender identity,0.86,0.08,40,35,26,13,CHF,100.0,1.6,84.0,24.0,0.47,101,0.83,3,24,11,École Polytechnique Fédérale de Lausanne,2400,1800,1300,"Lausanne, Switzerland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and education.",214600,Lausanne
128,91.0,0.02,39.511,0.05,76.0, Legal, Legal, Legal,0.2,46,69,18,32,GBP,41.0,2.2,73.0,19.0,0.69,159,0.63,0,6,17,University of Leeds,1300,1100,920,"Leeds, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",598000,Leeds
129,290.0,0.0,45.888,0.04,87.0, Step-child adoption only, Legal, Civil unions,0.19,97,74,45,18,EUR,36.0,1.0,86.0,11.0,0.2,28,0.67,1,30,9,No hay dato,970,750,520,"Leipzig, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",560700,Leipzig
130,12.9,0.0,40.375,0.1,77.0, Legal, Legal, Legal,0.2,65,43,31,84,EUR,40.0,2.5,64.0,15.0,0.2,155,1.0,3,31,19,No hay dato,1200,940,710,"Lille, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",478800,Lille
131,12.5,0.09,11.817,0.06,69.04, Equal, Sexual orientation and gender identity,0.52,0.18,69,145,64,103,PEN,53.0,2.2,32.0,4.4,0.3,56,0.1,6,19,47,No hay dato,750,610,470,"Lima, Peru, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and leisure & culture.",8902900,Lima
132,218.0,0.0,26.975,0.11,95.36, Equal, Sexual orientation and gender identity,0.94,0.23,69,88,108,78,EUR,51.0,1.4,45.0,11.0,0.48,103,0.36,2,9,18,Instituto Superior Técnico Lisboa,1300,1100,800,"Lisbon, one of the oldest cities in the world, is a charming mix of Paris and San Francisco—at a fraction of the price. It offers a relaxed and tolerant environment with great local cuisine. Its central areas are best navigated by foot, allowing you to enjoy the grand architecture and pleasant climate, while its affordable public transportation system offers easy access to the rest of the city.
Lisbon is one of the top ten city matches for 10.4% of Teleport users.",3015100,Lisbon
133,89.0,0.01,39.511,0.05,76.0, Legal, Legal, Legal,0.2,54,69,33,23,GBP,43.0,1.9,76.0,16.0,0.69,160,0.64,0,6,17,University of Liverpool,1100,920,750,"Liverpool, United Kingdom, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, travel connectivity and business freedom.",1587200,Liverpool
134,200.0,0.04,29.658,0.12,70.9, Equal,Sexual orientation only,0.92,0.22,57,56,30,12,EUR,56.0,1.3,46.0,11.0,0.19,25,0.27,3,14,9,University of Ljubljana,960,740,530,"Ljubljana, Slovenia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.
Ljubljana is one of the top ten city matches for 1.7% of Teleport users.",307300,Ljubljana
135,241.4,0.05,39.511,0.05,76.0, Legal, Legal, Legal,0.2,212,351,163,265,GBP,77.0,2.6,200.0,18.0,1.0,357,0.88,0,6,17,Imperial College London,3200,2500,1900,"By Matteo Pozzi

London is packed with endless opportunities: it is one of the world's most inviting cities for startups, as well as home to world-class schools, universities and museums. There is a robust transport network offering fast and easy commuting around London. With its vibrant multicultural environment, London offers an enormous variety of cuisines, recreational opportunities and cultural activities that appeal to virtually any interest.
London is one of the top ten city matches for 17.3% of Teleport users.",15760000,London
136,147.0,0.03,54.597,0.05,93.19, Equal, Sexual orientation and gender identity,0.44,0.09,270,282,227,222,USD,50.0,2.6,88.0,14.0,0.66,152,0.13,8,61,24,California Institute of Technology,2700,2300,1800,"Los Angeles is a sprawling city of 500 square miles and the heart of a metropolitan area with 18 million residents. It is a fabled California region, home to Hollywood and America's entertainment industry with year-round sunshine, world-famous beaches, and an intense car culture. The ""City of Angels"" is a magnet to people from around the world and a uniquely exciting environment.
Los Angeles is one of the top ten city matches for 11.5% of Teleport users.",19042300,Los-Angeles
137,93.0,0.03,54.597,0.05,71.09, Equal, No protections,0.44,0.06,114,88,55,43,USD,36.0,3.1,56.0,11.0,0.17,22,0.12,14,120,16,No hay dato,1100,950,750,"Louisville, Kentucky, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",701400,Louisville
138,12.9,0.09,92.049,0.07,89.78, Equal, Sexual orientation and gender identity,0.84,0.17,23,20,18,10,EUR,76.0,1.7,48.0,20.0,0.43,62,0.48,1,15,25,No hay dato,2700,2100,1500,"Luxembourg, Luxembourg, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Luxembourg is one of the top ten city matches for 1.6% of Teleport users.",126100,Luxembourg
139,31.0,0.0,8.668,0.1,71.98, Equal, Sexual orientation and gender identity,0.61,0.2,58,63,24,31,UAH,16.0,0.55,5.5,3.1,0.15,16,0.6,0,7,0,No hay dato,410,320,230,"Lviv, Ukraine, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and leisure & culture.",717800,Lviv
140,12.8,0.02,40.375,0.1,77.0, Legal, Legal, Legal,0.2,56,67,51,124,EUR,57.0,2.4,72.0,16.0,0.39,78,0.81,3,31,19,École Normale Supérieure de Lyon,1500,1200,840,"Lyon, France, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.
Lyon is one of the top ten city matches for 0.3% of Teleport users.",1289700,Lyon
141,90.0,0.05,54.597,0.05,82.97, Equal,Sexual orientation only,0.73,0.06,122,121,39,34,USD,41.0,1.7,64.0,14.0,0.13,11,0.11,10,69,24,University of Wisconsin-Madison,1600,1300,1000,"Madison, Wisconsin, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Madison is one of the top ten city matches for 2.7% of Teleport users.",366400,Madison
